"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Jan., 1999"	"1999/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3505	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 1999"	"1999/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3420	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 1999"	"1999/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3583	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 1999"	"1999/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2780	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 1999"	"1999/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2460	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 1999"	"1999/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2272	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 1999"	"1999/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2201	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 1999"	"1999/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2147	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 1999"	"1999/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2071	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 1999"	"1999/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2286	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 1999"	"1999/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2288	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 1999"	"1999/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3389	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2000"	"2000/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	4071	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2000"	"2000/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2888	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2000"	"2000/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2708	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2000"	"2000/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2386	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2000"	"2000/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2303	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2000"	"2000/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2247	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2000"	"2000/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2266	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2000"	"2000/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2197	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2000"	"2000/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2066	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2000"	"2000/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2331	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2000"	"2000/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2429	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2000"	"2000/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2770	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2001"	"2001/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3169	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2001"	"2001/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2870	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2001"	"2001/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2950	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2001"	"2001/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2800	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2001"	"2001/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2760	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2001"	"2001/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2501	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2001"	"2001/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2247	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2001"	"2001/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2237	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2001"	"2001/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2136	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2001"	"2001/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2310	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2001"	"2001/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2439	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2001"	"2001/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2611	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2002"	"2002/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3089	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2002"	"2002/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3071	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2002"	"2002/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3231	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2002"	"2002/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2695	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2002"	"2002/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2493	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2002"	"2002/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2243	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2002"	"2002/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2260	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2002"	"2002/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2174	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2002"	"2002/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2111	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2002"	"2002/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2288	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2002"	"2002/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2418	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2002"	"2002/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2716	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2003"	"2003/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2931	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2003"	"2003/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2751	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2003"	"2003/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2848	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2003"	"2003/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2601	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2003"	"2003/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2531	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2003"	"2003/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2381	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2003"	"2003/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2204	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2003"	"2003/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2108	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2003"	"2003/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2149	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2003"	"2003/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2222	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2003"	"2003/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2387	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2003"	"2003/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3357	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2004"	"2004/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3384	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2004"	"2004/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2787	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2004"	"2004/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2787	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2004"	"2004/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2585	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2004"	"2004/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2470	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2004"	"2004/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2201	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2004"	"2004/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2073	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2004"	"2004/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2101	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2004"	"2004/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2103	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2004"	"2004/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2186	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2004"	"2004/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2282	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2004"	"2004/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2685	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2005"	"2005/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3148	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2005"	"2005/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3227	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2005"	"2005/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3324	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2005"	"2005/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2860	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2005"	"2005/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2574	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2005"	"2005/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2358	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2005"	"2005/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2268	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2005"	"2005/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2156	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2005"	"2005/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2075	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2005"	"2005/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2233	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2005"	"2005/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2262	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2005"	"2005/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2951	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2006"	"2006/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3172	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2006"	"2006/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2661	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2006"	"2006/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3012	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2006"	"2006/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2542	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2006"	"2006/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2384	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2006"	"2006/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2205	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2006"	"2006/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2242	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2006"	"2006/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2102	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2006"	"2006/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2051	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2006"	"2006/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2205	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2006"	"2006/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2242	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2006"	"2006/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2689	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2007"	"2007/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2919	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2007"	"2007/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2723	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2007"	"2007/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2874	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2007"	"2007/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2657	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2007"	"2007/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2578	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2007"	"2007/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2177	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2007"	"2007/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2137	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2007"	"2007/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2094	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2007"	"2007/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2110	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2007"	"2007/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2278	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2007"	"2007/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2391	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2007"	"2007/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2631	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2008"	"2008/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3186	Not Applicable	Not Applicable
