"Notes"	"State"	"State Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 1999"	"1999/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	240	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 1999"	"1999/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	170	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 1999"	"1999/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	277	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 1999"	"1999/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	214	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 1999"	"1999/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	176	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 1999"	"1999/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	142	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 1999"	"1999/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	159	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 1999"	"1999/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	147	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 1999"	"1999/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 1999"	"1999/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 1999"	"1999/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	148	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 1999"	"1999/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	233	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2000"	"2000/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	295	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2000"	"2000/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	189	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2000"	"2000/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	172	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2000"	"2000/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	161	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2000"	"2000/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	135	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2000"	"2000/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	172	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2000"	"2000/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	157	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2000"	"2000/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	150	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2000"	"2000/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	138	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2000"	"2000/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	148	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2000"	"2000/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	136	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2000"	"2000/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	204	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2001"	"2001/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	217	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2001"	"2001/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	185	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2001"	"2001/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	214	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2001"	"2001/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	201	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2001"	"2001/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	189	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2001"	"2001/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	154	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2001"	"2001/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	170	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2001"	"2001/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	124	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2001"	"2001/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	153	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2001"	"2001/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	176	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2001"	"2001/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	206	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2001"	"2001/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	215	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2002"	"2002/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	221	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2002"	"2002/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	226	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2002"	"2002/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	259	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2002"	"2002/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	204	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2002"	"2002/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	178	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2002"	"2002/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	173	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2002"	"2002/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	174	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2002"	"2002/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	141	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2002"	"2002/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	170	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2002"	"2002/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	155	Not Applicable	Not Applicable
