"Notes"	"State"	"State Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 1999"	"1999/01"	"Emphysema (J43)"	"GR113-084"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 1999"	"1999/02"	"Emphysema (J43)"	"GR113-084"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 1999"	"1999/03"	"Emphysema (J43)"	"GR113-084"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 1999"	"1999/04"	"Emphysema (J43)"	"GR113-084"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 1999"	"1999/05"	"Emphysema (J43)"	"GR113-084"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 1999"	"1999/06"	"Emphysema (J43)"	"GR113-084"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 1999"	"1999/07"	"Emphysema (J43)"	"GR113-084"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 1999"	"1999/08"	"Emphysema (J43)"	"GR113-084"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 1999"	"1999/09"	"Emphysema (J43)"	"GR113-084"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 1999"	"1999/10"	"Emphysema (J43)"	"GR113-084"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 1999"	"1999/11"	"Emphysema (J43)"	"GR113-084"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 1999"	"1999/12"	"Emphysema (J43)"	"GR113-084"	34	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2000"	"2000/01"	"Emphysema (J43)"	"GR113-084"	48	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2000"	"2000/02"	"Emphysema (J43)"	"GR113-084"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2000"	"2000/03"	"Emphysema (J43)"	"GR113-084"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2000"	"2000/04"	"Emphysema (J43)"	"GR113-084"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2000"	"2000/05"	"Emphysema (J43)"	"GR113-084"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2000"	"2000/06"	"Emphysema (J43)"	"GR113-084"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2000"	"2000/07"	"Emphysema (J43)"	"GR113-084"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2000"	"2000/08"	"Emphysema (J43)"	"GR113-084"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2000"	"2000/09"	"Emphysema (J43)"	"GR113-084"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2000"	"2000/10"	"Emphysema (J43)"	"GR113-084"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2000"	"2000/11"	"Emphysema (J43)"	"GR113-084"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2000"	"2000/12"	"Emphysema (J43)"	"GR113-084"	24	Not Applicable	Not Applicable
