"Notes"	"State"	"State Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 1999"	"1999/01"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	191	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 1999"	"1999/02"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	141	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 1999"	"1999/03"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	229	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 1999"	"1999/04"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	185	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 1999"	"1999/05"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	144	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 1999"	"1999/06"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	114	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 1999"	"1999/07"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	131	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 1999"	"1999/08"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 1999"	"1999/09"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 1999"	"1999/10"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	121	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 1999"	"1999/11"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	127	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 1999"	"1999/12"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	190	Not Applicable	Not Applicable
