"Notes"	"State"	"State Code"	"Month, Year"	"Month, Year Code"	Avg Fine Particulate Matter (µg/m³)	Min Fine Particulate Matter	Max Fine Particulate Matter	Avg Fine Particulate Matter Standard Deviation
	"Alabama"	"01"	"Jan, 2003"	"2003/01"	11.505727000	2.000000000	24.900000000	3.785666765
	"Alabama"	"01"	"Feb, 2003"	"2003/02"	11.882707000	0.000000000	31.700000000	4.849868177
	"Alabama"	"01"	"Mar, 2003"	"2003/03"	12.791148000	0.000000000	40.000000000	5.054211587
	"Alabama"	"01"	"Apr, 2003"	"2003/04"	15.395844000	2.900000000	35.400000000	6.019812814
	"Alabama"	"01"	"May, 2003"	"2003/05"	16.507716000	0.000000000	36.400000000	5.459380192
	"Alabama"	"01"	"Jun, 2003"	"2003/06"	16.058084000	1.500000000	48.300000000	7.188786894
	"Alabama"	"01"	"Jul, 2003"	"2003/07"	15.748463000	1.400000000	37.100000000	5.877575993
	"Alabama"	"01"	"Aug, 2003"	"2003/08"	19.827492000	2.400000000	45.400000000	8.794140695
	"Alabama"	"01"	"Sep, 2003"	"2003/09"	18.730084000	0.000000000	45.500000000	8.865591257
	"Alabama"	"01"	"Oct, 2003"	"2003/10"	17.624388000	0.000000000	39.200000000	5.915057024
	"Alabama"	"01"	"Nov, 2003"	"2003/11"	11.795451000	0.000000000	26.100000000	4.683250810
	"Alabama"	"01"	"Dec, 2003"	"2003/12"	10.745115000	0.000000000	29.000000000	4.000743485
	"Alabama"	"01"	"Jan, 2004"	"2004/01"	12.775402000	4.000000000	37.500000000	4.507365017
	"Alabama"	"01"	"Feb, 2004"	"2004/02"	12.974687000	3.300000000	34.000000000	4.457991733
	"Alabama"	"01"	"Mar, 2004"	"2004/03"	12.246454000	3.200000000	36.300000000	5.733633675
	"Alabama"	"01"	"Apr, 2004"	"2004/04"	12.775878000	3.700000000	30.000000000	4.010831666
	"Alabama"	"01"	"May, 2004"	"2004/05"	13.753828000	4.600000000	30.200000000	4.747868778
	"Alabama"	"01"	"Jun, 2004"	"2004/06"	14.289876000	0.700000000	46.600000000	6.457768949
	"Alabama"	"01"	"Jul, 2004"	"2004/07"	18.635437000	3.500000000	46.900000000	9.411477333
	"Alabama"	"01"	"Aug, 2004"	"2004/08"	19.438225000	4.100000000	45.900000000	7.334487821
