"Notes"	"2013 CBSA"	"2013 CBSA Code"	"ICD 113 Groups"	"ICD 113 Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"1999"	"1999"	Suppressed	693125	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2000"	"2000"	Suppressed	694960	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2001"	"2001"	Suppressed	698108	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2002"	"2002"	Suppressed	699533	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2003"	"2003"	13	701139	1.854125929 (Unreliable)
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2004"	"2004"	Suppressed	701811	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2005"	"2005"	11	702498	1.565840757 (Unreliable)
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2006"	"2006"	Suppressed	702433	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2007"	"2007"	Suppressed	703423	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2008"	"2008"	10	703300	1.421868335 (Unreliable)
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2009"	"2009"	Suppressed	703361	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2010"	"2010"	Suppressed	703200	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2011"	"2011"	Suppressed	703115	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2012"	"2012"	Suppressed	702477	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2013"	"2013"	Suppressed	703433	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2014"	"2014"	11	704355	1.561712489 (Unreliable)
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2015"	"2015"	Suppressed	703358	Suppressed
	"Akron, OH"	"10420"	"Asthma (J45-J46)"	"GR113-085"	"2016"	"2016"	Suppressed	702221	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"1999"	"1999"	Suppressed	824119	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2000"	"2000"	Suppressed	825875	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2001"	"2001"	Suppressed	831034	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2002"	"2002"	Suppressed	836753	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2003"	"2003"	10	844619	1.183965788 (Unreliable)
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2004"	"2004"	11	850384	1.293533274 (Unreliable)
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2005"	"2005"	Suppressed	854604	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2006"	"2006"	Suppressed	860365	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2007"	"2007"	Suppressed	863068	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2008"	"2008"	Suppressed	866282	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2009"	"2009"	Suppressed	869361	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2010"	"2010"	11	870716	1.263328112 (Unreliable)
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2011"	"2011"	Suppressed	873214	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2012"	"2012"	13	875637	1.484633473 (Unreliable)
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2013"	"2013"	Suppressed	878401	Suppressed
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2014"	"2014"	16	879775	1.818646813 (Unreliable)
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2015"	"2015"	10	880803	1.135327650 (Unreliable)
	"Albany-Schenectady-Troy, NY"	"10580"	"Asthma (J45-J46)"	"GR113-085"	"2016"	"2016"	13	881839	1.474192001 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"1999"	"1999"	12	722692	1.660458397 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2000"	"2000"	Suppressed	729649	Suppressed
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2001"	"2001"	12	741932	1.617398899 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2002"	"2002"	10	757716	1.319755687 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2003"	"2003"	10	772128	1.295122052 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2004"	"2004"	Suppressed	789237	Suppressed
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2005"	"2005"	10	809551	1.235252628 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2006"	"2006"	Suppressed	831252	Suppressed
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2007"	"2007"	13	849641	1.530057989 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2008"	"2008"	Suppressed	863383	Suppressed
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2009"	"2009"	Suppressed	876448	Suppressed
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2010"	"2010"	10	887077	1.127297856 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2011"	"2011"	13	896818	1.449569478 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2012"	"2012"	10	900781	1.110147750 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2013"	"2013"	Suppressed	902911	Suppressed
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2014"	"2014"	14	903658	1.549258680 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2015"	"2015"	11	905174	1.215235966 (Unreliable)
	"Albuquerque, NM"	"10740"	"Asthma (J45-J46)"	"GR113-085"	"2016"	"2016"	Suppressed	909906	Suppressed
