"Notes"	"County"	"County Code"	"Month"	"Month Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Los Angeles County, CA"	"06037"	"Feb., 1999"	"1999/02"	"Chronic lower respiratory diseases"	"J40-J47"	12	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Mar., 1999"	"1999/03"	"Chronic lower respiratory diseases"	"J40-J47"	17	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Apr., 1999"	"1999/04"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"May, 1999"	"1999/05"	"Chronic lower respiratory diseases"	"J40-J47"	14	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Oct., 1999"	"1999/10"	"Chronic lower respiratory diseases"	"J40-J47"	12	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Nov., 1999"	"1999/11"	"Chronic lower respiratory diseases"	"J40-J47"	15	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Dec., 1999"	"1999/12"	"Chronic lower respiratory diseases"	"J40-J47"	20	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Jan., 2000"	"2000/01"	"Chronic lower respiratory diseases"	"J40-J47"	22	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Feb., 2000"	"2000/02"	"Chronic lower respiratory diseases"	"J40-J47"	15	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Mar., 2000"	"2000/03"	"Chronic lower respiratory diseases"	"J40-J47"	17	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Apr., 2000"	"2000/04"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"May, 2000"	"2000/05"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Jun., 2000"	"2000/06"	"Chronic lower respiratory diseases"	"J40-J47"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Aug., 2000"	"2000/08"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Sep., 2000"	"2000/09"	"Chronic lower respiratory diseases"	"J40-J47"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Nov., 2000"	"2000/11"	"Chronic lower respiratory diseases"	"J40-J47"	14	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Dec., 2000"	"2000/12"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Jan., 2001"	"2001/01"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Feb., 2001"	"2001/02"	"Chronic lower respiratory diseases"	"J40-J47"	15	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Mar., 2001"	"2001/03"	"Chronic lower respiratory diseases"	"J40-J47"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Apr., 2001"	"2001/04"	"Chronic lower respiratory diseases"	"J40-J47"	20	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"May, 2001"	"2001/05"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Jul., 2001"	"2001/07"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Oct., 2001"	"2001/10"	"Chronic lower respiratory diseases"	"J40-J47"	17	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Nov., 2001"	"2001/11"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Dec., 2001"	"2001/12"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Jan., 2002"	"2002/01"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Mar., 2002"	"2002/03"	"Chronic lower respiratory diseases"	"J40-J47"	15	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Apr., 2002"	"2002/04"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Sep., 2002"	"2002/09"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Oct., 2002"	"2002/10"	"Chronic lower respiratory diseases"	"J40-J47"	18	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Dec., 2002"	"2002/12"	"Chronic lower respiratory diseases"	"J40-J47"	16	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Jan., 2003"	"2003/01"	"Chronic lower respiratory diseases"	"J40-J47"	15	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Mar., 2003"	"2003/03"	"Chronic lower respiratory diseases"	"J40-J47"	17	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Apr., 2003"	"2003/04"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"May, 2003"	"2003/05"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Jul., 2003"	"2003/07"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Sep., 2003"	"2003/09"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Oct., 2003"	"2003/10"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Jan., 2004"	"2004/01"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Feb., 2004"	"2004/02"	"Chronic lower respiratory diseases"	"J40-J47"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Mar., 2004"	"2004/03"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Sep., 2004"	"2004/09"	"Chronic lower respiratory diseases"	"J40-J47"	16	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Nov., 2004"	"2004/11"	"Chronic lower respiratory diseases"	"J40-J47"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Dec., 2004"	"2004/12"	"Chronic lower respiratory diseases"	"J40-J47"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Feb., 2005"	"2005/02"	"Chronic lower respiratory diseases"	"J40-J47"	17	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Mar., 2005"	"2005/03"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"Apr., 2005"	"2005/04"	"Chronic lower respiratory diseases"	"J40-J47"	10	Not Applicable	Not Applicable
