"Notes"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Fine Particulate Matter (µg/m³)	Min Fine Particulate Matter	Max Fine Particulate Matter	Avg Fine Particulate Matter Standard Deviation
	"Autauga County, AL"	"01001"	"Jan, 2011"	"2011/01"	11.641935000	3.500000000	21.200000000	4.952612588
	"Autauga County, AL"	"01001"	"Feb, 2011"	"2011/02"	13.079761000	5.800000000	29.400000000	5.597201428
	"Autauga County, AL"	"01001"	"Mar, 2011"	"2011/03"	12.603494000	1.900000000	21.000000000	4.335724308
	"Autauga County, AL"	"01001"	"Apr, 2011"	"2011/04"	9.830000000	3.200000000	18.000000000	3.155062254
	"Autauga County, AL"	"01001"	"May, 2011"	"2011/05"	13.487365000	4.200000000	21.300000000	4.227292475
	"Autauga County, AL"	"01001"	"Jun, 2011"	"2011/06"	18.825833000	6.200000000	36.100000000	7.896861220
	"Autauga County, AL"	"01001"	"Jul, 2011"	"2011/07"	16.339516000	4.500000000	30.500000000	6.585045770
	"Autauga County, AL"	"01001"	"Aug, 2011"	"2011/08"	16.608602000	8.900000000	27.200000000	5.143910768
	"Autauga County, AL"	"01001"	"Sep, 2011"	"2011/09"	12.455277000	0.400000000	23.800000000	5.506898680
	"Autauga County, AL"	"01001"	"Oct, 2011"	"2011/10"	11.787903000	4.400000000	20.700000000	4.419076377
	"Autauga County, AL"	"01001"	"Nov, 2011"	"2011/11"	8.776944000	4.200000000	20.500000000	3.301522667
	"Autauga County, AL"	"01001"	"Dec, 2011"	"2011/12"	9.517741000	3.600000000	16.200000000	2.988307359
	"Baldwin County, AL"	"01003"	"Jan, 2011"	"2011/01"	12.587358000	4.100000000	31.700000000	5.536320397
	"Baldwin County, AL"	"01003"	"Feb, 2011"	"2011/02"	12.837451000	5.100000000	32.500000000	4.933668895
	"Baldwin County, AL"	"01003"	"Mar, 2011"	"2011/03"	11.904533000	0.000000000	20.200000000	3.861565709
	"Baldwin County, AL"	"01003"	"Apr, 2011"	"2011/04"	9.504504000	2.000000000	19.600000000	3.457850998
	"Baldwin County, AL"	"01003"	"May, 2011"	"2011/05"	12.386660000	3.700000000	24.500000000	4.239114579
	"Baldwin County, AL"	"01003"	"Jun, 2011"	"2011/06"	18.660540000	4.200000000	41.300000000	8.207834107
	"Baldwin County, AL"	"01003"	"Jul, 2011"	"2011/07"	15.630078000	1.500000000	31.700000000	6.741118667
	"Baldwin County, AL"	"01003"	"Aug, 2011"	"2011/08"	17.435832000	7.300000000	30.600000000	6.091459509
	"Baldwin County, AL"	"01003"	"Sep, 2011"	"2011/09"	13.493603000	0.000000000	27.000000000	6.070593474
	"Baldwin County, AL"	"01003"	"Oct, 2011"	"2011/10"	11.840889000	2.800000000	20.200000000	4.092325885
	"Baldwin County, AL"	"01003"	"Nov, 2011"	"2011/11"	9.828558000	4.000000000	20.500000000	4.038617095
	"Baldwin County, AL"	"01003"	"Dec, 2011"	"2011/12"	11.370967000	1.900000000	20.200000000	4.064317466
	"Barbour County, AL"	"01005"	"Jan, 2011"	"2011/01"	12.026728000	3.200000000	22.900000000	5.101796807
