"Notes"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Fine Particulate Matter (µg/m³)	Min Fine Particulate Matter	Max Fine Particulate Matter	Avg Fine Particulate Matter Standard Deviation
	"Autauga County, AL"	"01001"	"Jan, 2003"	"2003/01"	11.365591000	2.500000000	18.200000000	3.478613741
	"Autauga County, AL"	"01001"	"Feb, 2003"	"2003/02"	11.267559000	1.200000000	22.400000000	5.087032504
	"Autauga County, AL"	"01001"	"Mar, 2003"	"2003/03"	12.555376000	2.400000000	27.100000000	4.469398570
	"Autauga County, AL"	"01001"	"Apr, 2003"	"2003/04"	15.767777000	5.400000000	33.500000000	6.246859093
	"Autauga County, AL"	"01001"	"May, 2003"	"2003/05"	17.132526000	7.000000000	32.000000000	5.156561367
	"Autauga County, AL"	"01001"	"Jun, 2003"	"2003/06"	16.703611000	5.700000000	41.400000000	7.334446774
	"Autauga County, AL"	"01001"	"Jul, 2003"	"2003/07"	16.006720000	5.500000000	29.200000000	5.750357589
	"Autauga County, AL"	"01001"	"Aug, 2003"	"2003/08"	20.138978000	5.500000000	39.300000000	8.960332591
	"Autauga County, AL"	"01001"	"Sep, 2003"	"2003/09"	19.288333000	0.000000000	38.500000000	9.234878629
	"Autauga County, AL"	"01001"	"Oct, 2003"	"2003/10"	18.233064000	8.000000000	31.100000000	5.613111169
	"Autauga County, AL"	"01001"	"Nov, 2003"	"2003/11"	11.545000000	3.100000000	23.300000000	4.319886966
	"Autauga County, AL"	"01001"	"Dec, 2003"	"2003/12"	10.689247000	3.400000000	19.400000000	3.730040138
	"Baldwin County, AL"	"01003"	"Jan, 2003"	"2003/01"	11.237489000	4.300000000	24.800000000	4.003598727
	"Baldwin County, AL"	"01003"	"Feb, 2003"	"2003/02"	10.700965000	4.200000000	18.400000000	3.074174652
	"Baldwin County, AL"	"01003"	"Mar, 2003"	"2003/03"	11.808892000	0.000000000	23.600000000	4.910867787
	"Baldwin County, AL"	"01003"	"Apr, 2003"	"2003/04"	15.190000000	4.900000000	32.300000000	5.556229414
	"Baldwin County, AL"	"01003"	"May, 2003"	"2003/05"	16.960156000	0.000000000	36.200000000	6.170747377
	"Baldwin County, AL"	"01003"	"Jun, 2003"	"2003/06"	13.152342000	1.500000000	31.100000000	6.225587048
	"Baldwin County, AL"	"01003"	"Jul, 2003"	"2003/07"	13.588753000	1.500000000	27.900000000	4.734600731
	"Baldwin County, AL"	"01003"	"Aug, 2003"	"2003/08"	15.244638000	3.500000000	37.100000000	7.602646878
	"Baldwin County, AL"	"01003"	"Sep, 2003"	"2003/09"	15.455945000	0.000000000	30.700000000	7.620186740
	"Baldwin County, AL"	"01003"	"Oct, 2003"	"2003/10"	17.420313000	0.000000000	39.100000000	7.217135701
	"Baldwin County, AL"	"01003"	"Nov, 2003"	"2003/11"	10.520270000	3.400000000	23.600000000	4.073082805
	"Baldwin County, AL"	"01003"	"Dec, 2003"	"2003/12"	11.300523000	4.500000000	28.800000000	4.553183847
	"Barbour County, AL"	"01005"	"Jan, 2003"	"2003/01"	11.370353000	3.400000000	18.300000000	3.289652266
	"Barbour County, AL"	"01005"	"Feb, 2003"	"2003/02"	11.500510000	5.600000000	21.300000000	4.018417957
	"Barbour County, AL"	"01005"	"Mar, 2003"	"2003/03"	12.130568000	2.900000000	23.700000000	4.489454599
	"Barbour County, AL"	"01005"	"Apr, 2003"	"2003/04"	14.420952000	5.400000000	28.200000000	4.977872089
	"Barbour County, AL"	"01005"	"May, 2003"	"2003/05"	15.502764000	8.200000000	28.000000000	4.661065415
	"Barbour County, AL"	"01005"	"Jun, 2003"	"2003/06"	14.946190000	6.300000000	31.200000000	6.419300421
	"Barbour County, AL"	"01005"	"Jul, 2003"	"2003/07"	14.242089000	4.500000000	24.400000000	4.043636360
	"Barbour County, AL"	"01005"	"Aug, 2003"	"2003/08"	16.689708000	6.900000000	32.700000000	7.315988923
	"Barbour County, AL"	"01005"	"Sep, 2003"	"2003/09"	16.584126000	0.800000000	33.500000000	7.260015424
