"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Asthma (J45-J46)"	"GR113-085"	180	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Asthma (J45-J46)"	"GR113-085"	152	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Asthma (J45-J46)"	"GR113-085"	172	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Asthma (J45-J46)"	"GR113-085"	132	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"May, 1999"	"1999/05"	"Asthma (J45-J46)"	"GR113-085"	139	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Asthma (J45-J46)"	"GR113-085"	101	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Asthma (J45-J46)"	"GR113-085"	132	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Asthma (J45-J46)"	"GR113-085"	102	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Asthma (J45-J46)"	"GR113-085"	119	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Asthma (J45-J46)"	"GR113-085"	153	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Asthma (J45-J46)"	"GR113-085"	120	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Asthma (J45-J46)"	"GR113-085"	151	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Asthma (J45-J46)"	"GR113-085"	208	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Asthma (J45-J46)"	"GR113-085"	150	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Asthma (J45-J46)"	"GR113-085"	136	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Asthma (J45-J46)"	"GR113-085"	111	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"May, 2000"	"2000/05"	"Asthma (J45-J46)"	"GR113-085"	118	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Asthma (J45-J46)"	"GR113-085"	99	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Asthma (J45-J46)"	"GR113-085"	129	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Asthma (J45-J46)"	"GR113-085"	106	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Asthma (J45-J46)"	"GR113-085"	102	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Asthma (J45-J46)"	"GR113-085"	128	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Asthma (J45-J46)"	"GR113-085"	142	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Asthma (J45-J46)"	"GR113-085"	156	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Asthma (J45-J46)"	"GR113-085"	153	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Asthma (J45-J46)"	"GR113-085"	134	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Asthma (J45-J46)"	"GR113-085"	139	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Asthma (J45-J46)"	"GR113-085"	129	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"May, 2001"	"2001/05"	"Asthma (J45-J46)"	"GR113-085"	139	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Asthma (J45-J46)"	"GR113-085"	95	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Asthma (J45-J46)"	"GR113-085"	106	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Asthma (J45-J46)"	"GR113-085"	113	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Sep., 2001"	"2001/09"	"Asthma (J45-J46)"	"GR113-085"	104	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Oct., 2001"	"2001/10"	"Asthma (J45-J46)"	"GR113-085"	124	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Nov., 2001"	"2001/11"	"Asthma (J45-J46)"	"GR113-085"	120	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Dec., 2001"	"2001/12"	"Asthma (J45-J46)"	"GR113-085"	122	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Jan., 2002"	"2002/01"	"Asthma (J45-J46)"	"GR113-085"	136	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Feb., 2002"	"2002/02"	"Asthma (J45-J46)"	"GR113-085"	121	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Mar., 2002"	"2002/03"	"Asthma (J45-J46)"	"GR113-085"	127	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Apr., 2002"	"2002/04"	"Asthma (J45-J46)"	"GR113-085"	106	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"May, 2002"	"2002/05"	"Asthma (J45-J46)"	"GR113-085"	108	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Jun., 2002"	"2002/06"	"Asthma (J45-J46)"	"GR113-085"	107	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Jul., 2002"	"2002/07"	"Asthma (J45-J46)"	"GR113-085"	99	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Aug., 2002"	"2002/08"	"Asthma (J45-J46)"	"GR113-085"	109	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Sep., 2002"	"2002/09"	"Asthma (J45-J46)"	"GR113-085"	127	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Oct., 2002"	"2002/10"	"Asthma (J45-J46)"	"GR113-085"	114	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Nov., 2002"	"2002/11"	"Asthma (J45-J46)"	"GR113-085"	128	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Dec., 2002"	"2002/12"	"Asthma (J45-J46)"	"GR113-085"	140	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Jan., 2003"	"2003/01"	"Asthma (J45-J46)"	"GR113-085"	124	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Feb., 2003"	"2003/02"	"Asthma (J45-J46)"	"GR113-085"	121	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Mar., 2003"	"2003/03"	"Asthma (J45-J46)"	"GR113-085"	121	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Apr., 2003"	"2003/04"	"Asthma (J45-J46)"	"GR113-085"	123	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"May, 2003"	"2003/05"	"Asthma (J45-J46)"	"GR113-085"	114	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Jun., 2003"	"2003/06"	"Asthma (J45-J46)"	"GR113-085"	101	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Jul., 2003"	"2003/07"	"Asthma (J45-J46)"	"GR113-085"	95	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Aug., 2003"	"2003/08"	"Asthma (J45-J46)"	"GR113-085"	87	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Sep., 2003"	"2003/09"	"Asthma (J45-J46)"	"GR113-085"	93	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Oct., 2003"	"2003/10"	"Asthma (J45-J46)"	"GR113-085"	115	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Nov., 2003"	"2003/11"	"Asthma (J45-J46)"	"GR113-085"	124	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2003"	"2003"	"Dec., 2003"	"2003/12"	"Asthma (J45-J46)"	"GR113-085"	141	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"Jan., 2004"	"2004/01"	"Asthma (J45-J46)"	"GR113-085"	126	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"Feb., 2004"	"2004/02"	"Asthma (J45-J46)"	"GR113-085"	133	Not Applicable	Not Applicable
