"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	"Month"	"Month Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Chronic lower respiratory diseases"	"J40-J47"	180	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Chronic lower respiratory diseases"	"J40-J47"	152	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Chronic lower respiratory diseases"	"J40-J47"	172	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Chronic lower respiratory diseases"	"J40-J47"	132	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"May, 1999"	"1999/05"	"Chronic lower respiratory diseases"	"J40-J47"	139	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Chronic lower respiratory diseases"	"J40-J47"	101	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Chronic lower respiratory diseases"	"J40-J47"	132	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Chronic lower respiratory diseases"	"J40-J47"	102	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Chronic lower respiratory diseases"	"J40-J47"	119	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Chronic lower respiratory diseases"	"J40-J47"	153	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Chronic lower respiratory diseases"	"J40-J47"	120	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Chronic lower respiratory diseases"	"J40-J47"	151	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Chronic lower respiratory diseases"	"J40-J47"	208	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Chronic lower respiratory diseases"	"J40-J47"	150	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Chronic lower respiratory diseases"	"J40-J47"	136	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Chronic lower respiratory diseases"	"J40-J47"	111	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"May, 2000"	"2000/05"	"Chronic lower respiratory diseases"	"J40-J47"	118	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Chronic lower respiratory diseases"	"J40-J47"	99	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Chronic lower respiratory diseases"	"J40-J47"	129	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Chronic lower respiratory diseases"	"J40-J47"	106	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Chronic lower respiratory diseases"	"J40-J47"	102	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Chronic lower respiratory diseases"	"J40-J47"	128	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Chronic lower respiratory diseases"	"J40-J47"	142	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Chronic lower respiratory diseases"	"J40-J47"	156	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Chronic lower respiratory diseases"	"J40-J47"	153	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Chronic lower respiratory diseases"	"J40-J47"	134	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Chronic lower respiratory diseases"	"J40-J47"	139	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Chronic lower respiratory diseases"	"J40-J47"	129	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"May, 2001"	"2001/05"	"Chronic lower respiratory diseases"	"J40-J47"	139	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Chronic lower respiratory diseases"	"J40-J47"	95	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Chronic lower respiratory diseases"	"J40-J47"	106	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Chronic lower respiratory diseases"	"J40-J47"	113	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Sep., 2001"	"2001/09"	"Chronic lower respiratory diseases"	"J40-J47"	104	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Oct., 2001"	"2001/10"	"Chronic lower respiratory diseases"	"J40-J47"	124	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Nov., 2001"	"2001/11"	"Chronic lower respiratory diseases"	"J40-J47"	120	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2001"	"2001"	"Dec., 2001"	"2001/12"	"Chronic lower respiratory diseases"	"J40-J47"	122	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Jan., 2002"	"2002/01"	"Chronic lower respiratory diseases"	"J40-J47"	136	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2002"	"2002"	"Feb., 2002"	"2002/02"	"Chronic lower respiratory diseases"	"J40-J47"	121	Not Applicable	Not Applicable
