CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),UN_P05 ('000),UN_P10 ('000),UN_P15 ('000),Diff90,Diff95,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Internal Spatial Notes,Internal Population Notes,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source,,,,,,,
Aruba,ABW,North America,2,37,3705,Caribbean,AW,533,14,101,189,0,,,,,,1,,,66,84,101, 66 , 84 , 101 , 119 , 138 , 157 ,0.00,0.00,0.00,Centro Internacional de Agricultural Tropical (CIAT).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,Matched to DCW -GY,None applied; need updated popualtion from CIAT (used UN values),2,"25,643","15,597","20,620.00",Continental median,1,179,179,179.44,179,"87,380","87,380","87,380","87,380",94.88,94.9,51.0,1,0,0,0,"City Population, www.citypopulation.de","Map, World Gazetteer",,,,,,,
Afghanistan,AFG,Asia,4,14,1405,South-central Asia,AF,4,44,65,634908,2,Province,District,,,,329,,1998,"13,473","16,998","21,444"," 13,675 "," 19,073 "," 21,765 "," 26,163 "," 31,308 "," 35,577 ",1.47,10.88,1.47,"Afghanistan Information Management Service, http://www.aims.org.af/ .","UN Afghani Central Statistical Office via the Afghanistan Information Management Service, http://www.aims.org.af/ .",,"Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",Data arrived matching DCW exactly - no editing needed,"Early notes indicate that Uwe had originally sent data (spatial & pop). Quick check of referenced Web site (http://www.pcpafg.org/ - USAID) indicates that the site is no longer updated, that new data was found at: www.aims.org.pk (which moved to http://www.aims.org.af/)  Exploration of this site returned not only current (1998) population numbers from the UN Afghani CSO (Central Statistical Office) and spatial GIS formatted data, that matched the pop data (correct number of ADM2 units with matching names) that was an identical boundary match to GPW2\DCW.  Because of these close matches (and because the data from the PCPAFG site, though it had time sequenced Pop data (1979, 1989, 1995) along with estimates for pop growth rates) had a confusing, mismatched number of ADM unitsthe AIMS site data were used in the generation\update",50,"1,993,238","7,953","98,009.84",Sixty-three localities.,52,333,3,59.00,"3,068","792,551","8,090","70,714","3,677,148",0.48,15.5,22.3,14,35,12,0,"Preliminary Results of the First Afghan Population Census, 1979, UN Statistical Library; World Gazetteer, www.gazetteer.de","NIMA, World Gazetteer",,,,,,,
Angola,AGO,Africa,1,30,3005,Middle Africa,AO,24,264,1,1251924,1,Provincia,Municipio,,,,18,1987,1995,"10,002","11,718","13,728"," 9,570 "," 11,339 "," 13,134 "," 15,252 "," 17,765 "," 20,795 ",-4.52,-3.34,-4.52,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov,"Instituto Nacional de Estatistica (1987), Boletim Demografico No. 4, Projeccao da populacao do pais por provincias para o perodo 1970/95.",,"The last Angolan census was carried out in 1970. All population data published in the Statistical Yearbooks and other publications (e.g., the Economist's Intelligence Unit Report) are estimates that were produced by the National Statistics Institute, in 1987, based on the 1970 data. Due to civil war, considerable displacement of people has taken place since the 1970 census. Thus, population figures should be interpreted with caution. The base year population use here was 1990 projected population from the INE publication in 1987 and were extrapolated to 1995 and 2000 using growth rates derived from United Nations national level estimates and projections. ","ALPHA/BETA NOTES: Although a district level GIS database appears to be available, no data at this level could be obtained.  Thus, a province level database was used; Appears to be from GPW2.","ALPHA/BETA NOTES: I think only one UN growth rate was used for the extrapolation.  PROD NOTES: Although a district level GIS database appears to be available, no data at this level could be obtained.  A province level database was therefore employed in the creation of GPW v3.  Projected from GPW2 using UN National Estimates for 1990, 1995, and 2000 for growth rates. Three UN growth rates were used.",8,"3,615,666","3,396","301,343.57","Localities with a population of 2,000 or more.",30,554,0,48.95,"1,469","2,064,202","1,318","147,044","4,411,332",0.12,31.9,34.9,12,6,6,0,"AFCities, Data provided by Uwe Deichman at the World Bank; World Gazetteer, www.gazetteer.de","AFCities, NIMA",,,,,,,
Anguilla,AIA,North America,2,29,2905,Caribbean,AI,660,9,11,83,0,,,,,,1,,,8,10,11, 8 , 10 , 11 , 13 , 15 , 16 ,0.00,0.00,0.00,Digital Chart of the World (DCW).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,,"None, used UN numbers until CIAT checks on pop data",3,"1,445","1,120","1,282.50",In the absence of more detailed in_formation the entire population is considered urban.,1,69,69,68.98,69,"10,067","10,067","10,067","10,067",83.28,89.6,100.0,1,0,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de","Map, NIMA, World Gazetteer",,,,,,,
Albania,ALB,Europe,5,18,1805,Southern Europe,AL,8,33,119,28346,1,District,,,,,26,1990,2001,"3,314","3,144","3,086"," 3,289 "," 3,185 "," 3,134 "," 3,234 "," 3,311 "," 3,439 ",-0.75,1.28,1.53,Boundaries from Eurostat (distributed by UNEP GRID Geneva),"2001 Population data: Albania, Institute of Statistics, http://www.instat.gov.al/repoba/english/default_english.htm .  Preliminary Results of the General Census of Population and Housing, 1 April 2001 (table 5). 
1990 Population data: Statistisches Bundesamt (1993), Laenderbericht Albanien, J.B. Metzler & C.E. Poeschel Verlag, Wiesbaden.  1995 data were based on these and national level growth rates derived from United Nations Population Division figures.",,"Since 1991, Albania has disaggregated some of its districts (administrative level 1).  Such changes resulted in 36 districts, compared to the previous 26 districts. Recent boundary divisions were accomodated in the following attribution of population: 
- The population of the new district of Has is absorbed into Kukes; 
- Kurbin into Lezhe; 
- Kavaje into Tirana; 
- Bulqize into Mat; 
- Peqin into Elbasan; 
- Mallakaster into Fier; 
- Kucove into Berat; 
- Delvine into Sarande; 
- Korce and Devoll comprise Koritza; 
- Shkoder and Malsi E Madhe comprise Skutari.",Boundary data from GPW2,"(1)  P95E is from GPW2.
(2) Koritza and Skutari are the districts that don't exist in the 2001 census names.
",47,"342,761","3,190","29,015.28",Towns and other industrial centres with more than 400 inhabitants.,39,285,1,43.28,"1,688","357,498","1,871","33,633","1,311,676",6.00,42.8,42.9,23,22,0,0,"2001 Preliminary Albania Population Census, INSTAT, http://pages.albaniaonline.net/repoba/zyra_shtypit/prel_e; World Gazetteer, www.gazetteer.de","NIMA, World Gazetteer",,,,,,,
Andorra,AND,Europe,5,28,2805,Southern Europe,AD,20,8,9,464,1,Parish,,,,,7,1990,2000,55,64,66, 53 , 68 , 86 , 105 , 126 , 146 ,-3.49,6.37,23.39,"Second Administrative Level Boundaries (SALB), United Nations, http://www3.who.int/whosis/gis/salb/salb_home.htm .","Servei d'Estudis--Ministeri de Finances: http://www.estadistica.ad/; See: ""Andorra in Figures 2003"": http://www.estadistica.ad/indexdee.htm",,Parish population data were extrapolated to target years using national level growth rates from 1990-1995 and from 1995-2000.,"For the boundary data, according to an email from Steeve (data source) dated 9 April 2003 - the NMA couldn't validate this map....they still haven't' agree on the delimitation of the units !!!","ALPHA/BETA: Backcasted/projected using new 2000 population data and the following UN rates: 1990-2000, 2000-2010, and 2010-2020.; Data from: downloaded pdf (""AND_pop2000byParish""); PROD: Data extrapolated using national g.r.s now",7,"21,370","2,288","9,524.14","Parishes of Andorra la Vella, Escola_des-Engordany, Sant Julia, Encamp and La Massana.",1,323,323,322.67,323,"64,279","64,279","64,279","64,279",69.57,97.5,92.2,1,0,0,0,"City Population, www.citypopulation.de",World Gazetteer,,,,,,,
Netherland Antilles,ANT,North America,2,533,53305,Caribbean,AN,530,3,2,818,2,Island,Geozone,,,,71,1990,2001,188,190,177, 188 , 205 , 215 , 225 , 234 , 242 ,-0.21,7.11,17.92,"Digital Chart of the World (DCW) and World Vector Shoreline, http://www.ngdc.noaa.gov/mgg/shorelines/shorelines.html .","· Population for 1990 through 1999: Source-- Statistical Yearbook Netherlands Antilles 2000, Central Bureau of Statistics, Willemstad, March 2001.  
· 2001 population from the The Fourth Population and Housing Census Netherlands Antilles 2001.  Central Bureau of Statistics Netherlands Antilles, http://www.central-bureau-of-statistics.an/census.asp .","The Geozone (administrative level 2) boundary for the Island of Curacao was digitized from a paper map from the Central Bureau of Statistics, Netherland Antilles.","Administrative level 1 (Island) data were available from 1990-2001, with the exception of Curacao where administrative level 2 (Geozone) data are available for 2001. The population for all units were extrapolated based on the Island-level growth rates between 1990 and 2001.","· not sure if the GPW2 boundary or from DCW, I just assumed that this is probably from DCW  - Lisa 9July 04
· added shape files for saba and st. eustatious from the world vector shoreline--these were missing from GPW2 coverage.  The Geozone (Level 2) boundary for the Island of Curacao was digitized from a paper map from the Central Bureau of Statistics, Netherland Antilles.",non-standard projection - hybrid,1,"61,584","61,584","61,584.00","Population of the urban agglomera_tions of Willemstad, Philipsburg and Kralendjik.",4,352,8,135.25,541,"127,125","5,808","39,613","158,454",67.20,90.2,69.3,5,0,0,0,"City Population, www.citypopulation.de",World Gazetteer,,,,,,,
United Arab Emirates,ARE,Asia,4,830,83005,Western Asia,AE,784,97,399,74777,1,Emirate,,,,,8,1985,1995,"1,822","2,411","3,196"," 2,014 "," 2,352 "," 2,606 "," 2,840 "," 3,056 "," 3,230 ",1.87,-2.22,-6.75,UNEP/GRID-WRI-NCGIA Asia Population Database: http://grid2.cr.usgs.gov .,United Arab Emirates Census 1985 and 1995: http://www.uae.gov.ae/mop/Census/census.htm .,,,,"ALPHA/BETA NOTES: Unclear to me whether or not the pop data is new; I went ahead a calculated a growth rate and backcasted/projected.  My 1990 #s are slightly different from the U.N.s (10% off) and the 2000 projection is approx 20% off.  --(June 2004) I found what looks like (this note was cut off somehow...); The 1995 data figure we have listed does not match what is on the Web site.  It is possible that there has been an update.  The web site address given in the ISO sheet was broken.  I subsequently found a new address with potentially new data.  Please see: http://www.uae.gov.ae/mop/Census/census.htm.  Look at the tabs at the bottom of the page and click on 95 for the figures. -Mel   PROD NOTES: Updated using the new 1995 values from the UAE census office website.  The growth rate between 1985 and 1995 was calculated.  The 5% rate cap applied to extrapolate to years 2005-2020, but the figures are still much higher than the UN's.",9,"880,809","29,739","275,930.67",Not available.,11,"6,749",5,783.76,"8,621","2,464,018","1,133","247,862","2,726,483",10.96,84.0,87.2,15,0,0,0,"City Population, www.citypopulation.de","City Population, NIMA",,,,,,,
Argentina,ARG,South America,3,34,3405,South America,AR,32,74,72,2736391,2,Provincia,Departamento,,,,499,1991,2001,"32,295","33,973","35,858"," 32,527 "," 34,768 "," 37,032 "," 39,302 "," 41,474 "," 43,498 ",0.72,2.29,3.17,Atlas de Suelos de la República Argentina. Inta y la Fundación Argentina. Prepared by the Centro Internacional de Agricultural Tropical (CIAT). ,"Provincia segun departamento. Poblacion censada en 1991 y 2001 y variacion intercensal absoluta y relativa 1991-2001: http://www.indec.gov.ar/principal.asp?id_tema=50.  Censo Nacional de Poblacion, Hogares y Viviendas del ano 2001. Instituto Nacional de Estadistica Y Censos Argentina: http://www.indec.mecon.ar/webcenso/index.asp ",,"Based on the jpg Provincial boundary maps downloaded from Resultados Provinciales del Censo 2001 - Información seleccionada (http://www.indec.mecon.ar/webcenso/provincias_2/provincias.asp), the following edits were made:
(1) in Buenos Aires, the populations of Hurlingham,  Ituzaingó are added to  Morón; Ezeiza added to  Esteban Echeverría; population of Presidente Perón added to San Vicente; population of Punta Indio added to Magdalena; Malvinas argentina added to Pilar; adn Jose C. Paz and San Miguel merged to form Gen Sarmineto.
(2) In Provincia del Chaco, the polygons for 12 de Octubre and Fray Justo Santa María de Oro are merged and their populations and the populations of 2 de Abril added together.  
(3) In Provincia de Entre Ríos, the polygons for Colón, Concordia and Villaguay are merged and their populations and San Salvador are added together.  
(4) In Provincia de Misiones, the population of Capital are added to Apóstoles. (5) In Tiera del Fuego, redistributed the population Antártida Argentina to Rio Grande and Ushuaia.",,ALPA/BETA: Standard Interpolation PROD: Still a standard interpolation.  Changes for prod include some errors that were corrected in the pop figures.  The total for 1991 and 2001 now matches the census totals as reported by the NSO.  ,1091,"2,731,098","1,008","28,567.43","Population centres with 2,000 inhabitants or more.",419,"5,254",9,131.61,"55,146","12,185,612","1,615","71,492","29,955,120",2.01,81.2,88.3,768,107,4,0,"CELADE, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean; Censo Nacional de Poblacion, Hogares y Viviendas 2001, http://www.indec.mecon.ar/;City Population, www.citypopulation.de","Celade, Map, NIMA",,,,,,,
Armenia,ARM,Asia,4,36,3605,Western Asia,AM,51,51,293,28277,1,Marzes,Rayon,,,,11,1989,2001,"3,280","3,246","3,218"," 3,545 "," 3,760 "," 3,787 "," 3,798 "," 3,807 "," 3,808 ",7.46,13.66,15.02,"Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN), http://www.asian.gu.edu.au/ .","2001 Census marzes (administrative 1 level) were provided by the National Statistical Service of Armenia and downloaded at: http://docs.armstat.am/census/engcontent.php .
1989 rayon (administrative 2 level) population data were obtained via the Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN), http://www.asian.gu.edu.au/ .  ",The rayon (administrative 2 level) boundaries were dissolved to the marzes (administrative 1 level) level.,"The National Statistics of the Republic of Armenia reported that because the 1989 census took place under difficult conditions, the census data resulted in an undercount.  The Rayon population was aggregated to the Marzes level.",,,42,"1,248,032","1,700","52,259.98","Cities and urban-type localities, officially designated as such, usually according to the criteria of number of inhabitants and predominance of agricultural or non-agricultural workers and their families.",33,591,4,52.95,"1,747","1,062,072","5,056","56,349","1,859,515",6.19,60.3,67.2,17,20,4,0,"Armenia Census 2001, National Statistical Service of the Republic of Armenia (NSS of RA); World Gazetteer, www.gazetteer.de","ASCities, Getty, NIMA, World Gazetteer",,,,,,,
