,station_id,stime,air_data_value,RH,UGRD,VGRD,HPBL,TMP,goes_measurement
0,06-011-0007,2019-01-02 20:00:00,17.0,31.6,-2.1066227,-1.7975826,256.61905,282.8188,-0.0059216805
1,06-019-0500,2019-01-02 20:00:00,13.0,62.2,1.2058773,1.7649174,337.49405,281.6313,0.08708975
2,06-061-0003,2019-01-02 20:00:00,21.0,61.5,1.5183773,1.0149174,270.61905,280.1313,0.09433338
3,06-073-1201,2019-01-02 20:00:00,6.0,15.400001,2.0808773,-1.6100826,1009.3066,288.1938,-0.0241849
4,06-079-2004,2019-01-02 20:00:00,7.0,50.7,2.3933773,-1.1725826,460.43155,285.1938,-0.014012981
14,31-055-0019,2019-01-02 20:00:00,7.0,50.600002,3.2683773,2.8274174,351.18155,273.0688,0.14357473
15,32-005-0007,2019-01-02 20:00:00,2.0,44.5,1.3308773,-1.6725826,323.99405,276.3813,0.08793740000000000
16,32-031-0025,2019-01-02 20:00:00,3.0,39.9,0.3308773,1.4524174,232.36905,275.5063,0.2195559
17,32-031-1005,2019-01-02 20:00:00,7.0,40.9,-1.0441227,1.0149174,247.05655,275.0063,0.24144094
18,32-031-1007,2019-01-02 20:00:00,5.0,45.100002,-0.4191227,1.5774174,259.68155,274.3188,0.11305897
19,32-510-0020,2019-01-02 20:00:00,2.0,40.5,-1.6066227,-0.17258263,280.11905,275.0063,0.06774768
48,06-011-0007,2019-01-02 21:00:00,13.0,29.7,-1.8502045,-1.5586948,261.1722,283.3081,0.007717941
49,06-019-0500,2019-01-02 21:00:00,9.0,54.2,1.7122955,1.1288052,373.3597,282.6206,0.06189112
50,06-061-0003,2019-01-02 21:00:00,12.0,59.5,1.5247955,0.87880516,286.2972,280.8706,0.08624208
51,06-065-0010,2019-01-02 21:00:00,3.0,11.3,-2.3502045,-9.371195,575.6097,280.0581,-0.002453979
53,06-073-1201,2019-01-02 21:00:00,3.0,16.300001,4.2122955,0.12880516,988.2347,289.4956,-0.02117956
54,06-079-2004,2019-01-02 21:00:00,12.0,54.2,3.2747955,-1.3711948,402.3597,285.4956,-0.02141074
65,31-055-0019,2019-01-02 21:00:00,3.0,48.0,3.0872955,2.4413052,328.1097,274.3081,0.080154344
66,32-031-0025,2019-01-02 21:00:00,6.0,34.9,0.89979553,0.50380516,278.4847,277.4956,0.1538237
67,32-031-1005,2019-01-02 21:00:00,5.0,36.7,-1.5377045,0.62880516,285.8597,277.0581,0.15366958
68,32-031-1007,2019-01-02 21:00:00,4.0,41.100002,-1.2252045,1.5663052,300.6722,276.3706,0.061197583
98,06-011-0007,2019-01-02 22:00:00,12.0,30.6,-1.7858686,-0.23256302,267.25668,283.8153,-0.03643744
99,06-019-0500,2019-01-02 22:00:00,12.0,48.0,2.2766314,0.579937,410.19418,283.8778,0.040083144
100,06-061-0003,2019-01-02 22:00:00,16.0,57.2,1.2766314,1.017437,340.25668,281.7528,0.08362205
101,06-065-0010,2019-01-02 22:00:00,4.0,14.900001,-2.0983686,-8.857563,575.3817,280.4403,0.034072462000000000
102,06-073-1201,2019-01-02 22:00:00,3.0,15.5,3.4016314,0.579937,1073.0692,289.6903,-0.00908114
103,06-079-2004,2019-01-02 22:00:00,8.0,54.100002,3.0266314,-1.795063,260.75668,285.5028,-0.012394719000000000
104,06-083-2011,2019-01-02 22:00:00,3.0,53.9,1.4016314,2.079937,762.5067,288.1278,0.010877401
112,32-031-0025,2019-01-02 22:00:00,5.0,30.6,0.77663136,-0.982563,387.19418,278.7528,0.101808205
113,32-031-1007,2019-01-02 22:00:00,7.0,36.5,-1.2858686,0.704937,381.56918,277.5653,0.05164214
143,06-011-0007,2019-01-02 23:00:00,9.0,28.4,-1.6166229,0.30502605,216.31549,284.4723,-0.05
144,06-019-0500,2019-01-02 23:00:00,9.0,43.7,1.4458771,0.43002605,404.0655,284.0973,0.037540164
145,06-029-0018,2019-01-02 23:00:00,2.0,16.800001,-1.3041229,2.055026,693.8155,284.0973,0.04108492
146,06-061-0003,2019-01-02 23:00:00,17.0,56.3,1.7583771,0.99252605,278.253,282.2848,0.06466529
147,06-065-0010,2019-01-02 23:00:00,4.0,14.1,-2.616623,-7.632474,631.753,280.4723,-0.0130111985
148,06-073-1201,2019-01-02 23:00:00,3.0,17.2,2.633377,0.68002605,1180.753,289.4098,0.010260921
149,06-079-2004,2019-01-02 23:00:00,5.0,59.0,3.633377,-1.757474,245.19049,285.2848,0.010260921
150,06-083-2004,2019-01-02 23:00:00,2.0,43.5,3.695877,-2.444974,408.503,287.0973,-0.0135506205
151,06-083-2011,2019-01-02 23:00:00,2.0,53.9,2.008377,0.80502605,777.628,288.6598,0.022975821
160,32-005-0007,2019-01-02 23:00:00,3.0,32.9,1.1333771,-1.569974,626.003,280.2223,0.009027962
161,32-031-0025,2019-01-02 23:00:00,6.0,28.1,0.13337708,-1.007474,499.1905,279.6598,0.051565085
162,32-031-1007,2019-01-02 23:00:00,4.0,36.600002,-1.6791229,1.305026,386.9405,278.3473,0.038002525
163,32-510-0020,2019-01-02 23:00:00,2.0,30.1,-3.616623,-0.88247395,540.253,279.0348,0.0030943416
174,41-035-0004,2019-01-02 23:00:00,6.0,54.2,-1.4291229,0.80502605,139.37799,273.9098,0.013035078
181,48-273-0314,2019-01-02 23:00:00,5.0,94.200005,3.133377,-5.757474,94.62799,281.5348,4.9999730000000000
210,29-189-3001,2019-01-03 14:00:00,5.8,92.6,0.75694275,0.6851082,47.635895,268.465,2.2725885
263,29-189-3001,2019-01-03 15:00:00,4.2,93.700005,1.2929764,0.9431591,103.94746,271.1368,0.055649262000000000
265,31-055-0019,2019-01-03 15:00:00,4.0,76.700005,1.6679764,0.9431591,80.13496,270.3243,1.3743
272,35-001-0026,2019-01-03 15:00:00,8.5,83.700005,0.8554764,1.1931591,21.134954,261.1993,-0.05
276,35-013-0016,2019-01-03 15:00:00,6.0,88.5,-1.0195236,0.0681591,116.88496,270.9493,3.648572
289,48-043-0101,2019-01-03 15:00:00,13.0,51.8,7.0429764,-1.1818409,138.07245,277.6993,0.08786034600000000
294,48-323-0004,2019-01-03 15:00:00,10.0,78.4,2.6679764,-3.056841,173.38495,275.8868,0.13856582
310,06-079-2007,2019-01-03 16:00:00,19.0,68.9,-1.7884502,1.8087025,31.896648,275.2444,0.42607668
312,06-083-2011,2019-01-03 16:00:00,6.0,46.600002,1.5240498,0.12120247,39.14665,279.4944,0.3682817
320,29-189-3001,2019-01-03 16:00:00,5.2,83.200005,0.14904976,0.43370247,180.39665,272.9319,0.14049232
322,31-055-0019,2019-01-03 16:00:00,6.0,67.5,1.5865498,1.1212025,84.396645,273.3694,2.0064232
326,32-031-1007,2019-01-03 16:00:00,8.0,74.4,0.21154976,0.37120247,55.20915,265.5569,-0.05
329,35-001-0026,2019-01-03 16:00:00,7.8,72.5,-0.10095024,-2.1287975,226.33415,265.6194,-0.05
341,44-007-0030,2019-01-03 16:00:00,9.0,82.700005,2.8365498,-1.3162975,424.58414,278.4944,0.7887981
344,48-043-0101,2019-01-03 16:00:00,7.0,43.4,4.2740498,0.68370247,278.52164,279.8694,0.14873774
347,48-323-0004,2019-01-03 16:00:00,12.0,72.1,2.4615498,-4.9412975,247.83415,278.4944,0.17732700000000000
355,06-019-0500,2019-01-03 17:00:00,5.0,58.2,-1.3801003,0.14804935,86.82681,279.52707,0.024362903
357,06-061-0003,2019-01-03 17:00:00,11.0,70.4,-1.2551003,-0.16445065,52.201817,277.90207,-0.016555961
363,06-083-2011,2019-01-03 17:00:00,5.0,45.5,0.80739975,1.0855494,36.826817,285.46457,0.17640229
370,29-189-3001,2019-01-03 17:00:00,7.5,72.6,-0.31760025,0.89804935,257.2643,274.83957,0.12130439
392,44-007-0030,2019-01-03 17:00:00,7.0,71.9,4.3698997,-1.6019506,784.26434,279.96457,0.8549926
393,44-009-0007,2019-01-03 17:00:00,4.0,70.8,5.0573997,-2.8519506,853.38934,280.02707,1.6995703000000000
399,48-323-0004,2019-01-03 17:00:00,6.0,57.100002,2.4948997,-4.2894506,315.8893,280.58957,0.19258489
401,48-479-0313,2019-01-03 17:00:00,4.0,58.0,3.4323997,-5.5394506,411.0768,282.52707,0.31765327
408,06-019-0500,2019-01-03 18:00:00,7.0,58.0,1.0378666,0.63434887,69.341606,280.27094,0.06736238
413,06-073-1201,2019-01-03 18:00:00,10.0,20.2,0.22536659,-3.6781511,291.2166,289.45844,-0.00083572045
416,06-083-2011,2019-01-03 18:00:00,2.0,44.0,1.0378666,1.9468489,215.8416,287.64594,0.07961492
423,29-189-3001,2019-01-03 18:00:00,8.4,62.2,-0.21213341,0.88434887,349.4666,276.33344,0.11976318
425,31-055-0019,2019-01-03 18:00:00,5.0,48.100002,2.1003666,3.1968489,152.9041,279.64594,0.29576820000000000
428,32-031-1005,2019-01-03 18:00:00,10.0,53.100002,-1.0871334,-0.36565113,50.779106,272.33344,0.547215
432,35-001-0026,2019-01-03 18:00:00,5.6000000000000000,58.3,-0.6496334,-1.9281511,334.2166,268.39594,3.9940317
445,44-007-0030,2019-01-03 18:00:00,7.0,61.9,4.5378666,-2.7406511,1087.904,280.52094,0.39610034
446,44-009-0007,2019-01-03 18:00:00,3.0,62.0,4.1628666,-3.2406511,1067.029,280.64594,1.3028654
448,48-043-0101,2019-01-03 18:00:00,10.0,34.100002,1.2253666,1.6343489,683.2791,281.77094,0.112057194
452,48-323-0004,2019-01-03 18:00:00,5.0,45.4,3.7253666,-3.3656511,455.9666,282.64594,0.14318943
454,48-479-0313,2019-01-03 18:00:00,7.0,45.600002,4.2253666,-5.803151,523.9041,285.08344,0.2000597
460,06-011-0007,2019-01-03 19:00:00,21.0,59.8,-1.2344208,0.07143402,124.361984,279.5266,0.039312538
461,06-019-0500,2019-01-03 19:00:00,9.0,56.3,2.2655792,0.25893402,205.42448,282.2141,0.047326785
465,06-073-1201,2019-01-03 19:00:00,8.0,14.900001,1.5155792,-2.241066,679.112,291.2141,-0.02464726
466,06-079-2004,2019-01-03 19:00:00,13.0,48.0,0.015579224,0.633934,221.98698,285.1516,0.0059455596
467,06-083-2011,2019-01-03 19:00:00,2.0,41.2,0.9530792,1.321434,521.5495,288.4641,0.04378202
474,29-189-3001,2019-01-03 19:00:00,8.3,58.5,-0.35942078,1.383934,344.04947,277.6516,0.06813298
476,31-055-0019,2019-01-03 19:00:00,3.0,40.7,2.8280792,2.821434,281.54947,282.4016,0.15182015
477,32-031-0025,2019-01-03 19:00:00,7.0,43.5,-0.35942078,-2.678566,130.86198,277.7141,0.27087784
478,32-031-1005,2019-01-03 19:00:00,14.0,44.0,-0.7969208,-1.491066,107.424484,276.3391,0.37722063
482,35-001-0026,2019-01-03 19:00:00,4.7,48.4,-0.48442078,-1.866066,457.29947,270.3391,2.40806
496,44-007-0030,2019-01-03 19:00:00,7.0,57.9,4.453079,-2.053566,1246.6744,280.5891,2.1428194
497,44-009-0007,2019-01-03 19:00:00,3.0,54.9,4.140579,-2.366066,1249.6119,280.6516,0.6052412000000000
499,48-043-0101,2019-01-03 19:00:00,9.0,28.300001,4.265579,0.571434,501.23697,284.4016,0.017658684000000000
503,48-323-0004,2019-01-03 19:00:00,6.0,36.100002,3.3280792,-4.116066,524.6745,285.7141,0.0609664
504,48-479-0313,2019-01-03 19:00:00,3.0,35.600002,3.3905792,-5.303566,630.612,287.4016,0.110284805
