station_id,station_lat,station_lon
06-019-0500,36.985119,-119.658339
06-029-0018,35.642943,-117.715066
06-061-0003,38.93568,-121.09959
06-065-0010,33.747236,-115.820124
06-073-1201,33.362593,-117.09023
06-079-2004,35.02083,-120.56388
06-079-2007,35.04673,-120.58777
06-083-2004,34.63782,-120.4575
08-029-0007,38.8764,-107.6023
08-045-0019,39.43806,-108.02611
11-001-0041,38.895572,-76.958072
11-001-0043,38.921847,-77.013178
11-001-0051,38.89477,-76.953426
16-053-0003,42.68,-114.2525
29-189-3001,38.650329,-90.350313
31-055-0019,41.247486,-95.973142
32-005-0007,38.897557,-119.732507
32-031-0025,39.399837,-119.739606
32-031-1005,39.540917,-119.746761
32-031-1007,39.621434,-119.71877
32-510-0020,39.1447,-119.7661
35-001-0023,35.1343,-106.5852
35-001-0026,35.1443,-106.60468
35-001-0029,35.01708,-106.65739
35-001-1012,35.1852,-106.50815
35-001-1013,35.19324,-106.613815
35-013-0016,32.003712,-106.599715
35-013-0022,31.787885,-106.683324
35-049-0021,35.61975,-106.07968
35-055-0005,36.383359,-105.5839
40-115-9007,36.985702,-94.83931
41-025-0003,43.58925,-119.04872
41-035-0004,42.190296,-121.731369
42-003-1376,40.43743,-79.863572
42-101-0075,40.054171,-74.985166
42-101-0076,39.988842,-75.207205
44-007-0030,41.829495,-71.417457
44-009-0007,41.49511,-71.423705
45-091-8801,34.9127,-80.8745
48-043-0101,29.30265,-103.17781
48-135-1014,31.870253,-102.334756
48-201-1034,29.767997,-95.220582
48-303-1028,33.58553,-101.78698
48-323-0004,28.704607,-100.451156
48-361-1100,30.194167,-93.866944
48-479-0313,27.599444,-99.533333
49-021-0005,37.74743,-113.055525
49-035-4002,40.662878,-111.901188
56-013-0099,42.529999,-108.720003
56-013-0232,43.081667,-107.549444
56-035-0101,42.869824,-109.87076
56-039-1013,44.373056,-110.830833
78-030-0010,18.343811,-64.931389
