N,W,timestamp
39.5,-102.0,20170652036101
30.7,-86.6,20170691915027
36.8,-96.7,20170691915027
31.9,-95.5,20170732051100
27.6,-98.6,20170732051100
28.9,-83.4,20170762021100
34.7,-82.4,20170781721102
27.7,-82.1,20170792121100
36.1,-82.0,20170831800415
30.0,-108.3,20170902115380
34.6,-89.6,20170902115380
31.9,-95.0,20170902115380
35.6,-96.2,20170902115380
29.7,-82.1,20170911923080
30.7,-86.6,20170911923080
34.1,-87.4,20170911923080
32.2,-89.4,20170911923080
27.9,-81.0,20170952215431
32.5,-93.1,20170961915431
30.5,-94.5,20170961915431
34.7,-87.3,20170972116118
35.1,-89.5,20170972116118
32.6,-89.8,20170972116118
33.6,-92.6,20170972116118
32.5,-92.9,20170972116118
35.9,-93.2,20170972116118
33.8,-93.4,20171151915379
32.8,-89.5,20171152130394
34.9,-111.6,20171161915394
35.4,-111.8,20171212115380
42.3,-121.9,20171212115380
31.8,-93.9,20171212115380
35.3,-79.6,20171222015394
31.3,-82.8,20171222015394
33.3,-86.3,20171222015394
32.9,-96.0,20171222015394
31.9,-110.1,20171262115392
32.4,-83.6,20171262115392
31.8,-89.1,20171262115392
32.1,-94.4,20171262115392
30.9,-82.7,20171301815373
32.8,-85.0,20171301815373
32.0,-87.7,20171301815373
33.2,-119.2,20171402315270
42.4,-122.0,20171402315270
44.2,-124.2,20171402315270
44.4,-124.9,20171421915269
35.1,-95.7,20171421915269
44.0,-125.3,20171422115269
35.0,-95.5,20171422115269
36.2,-112.3,20171432015268
44.3,-121.4,20171432015268
35.4,-111.8,20171472215415
28.6,-82.0,20171472215415
30.5,-85.7,20171472215415
39.8,-121.2,20171572115380
44.0,-123.8,20171572115380
40.5,-112.0,20171622215380
34.1,-112.2,20171692215380
36.5,-113.1,20171731830429
45.3,-120.8,20171732215380
41.8,-116.5,20171781615383
48.5,-120.7,20171791515384
32.9,-117.3,20171792345382
35.4,-110.8,20171822115380
48.3,-108.8,20171851615383
35.7,-121.5,20171882315382
40.1,-121.8,20171882315382
42.4,-123.6,20171882315382
37.2,-123.2,20171891930380
44.6,-114.6,20171912315380
42.6,-117.1,20171912315380
40.4,-120.4,20171912315380
50.1,-112.8,20171972045379
48.9,-94.8,20171972045379
38.1,-120.3,20171982015379
45.1,-122.7,20172002315379
40.1,-109.2,20172642100413
40.7,-123.6,20172662215425
35.9,-107.0,20172682115438
40.7,-123.8,20172682115438
33.4,-83.3,20172682115438
40.6,-125.4,20172692115444
45.1,-118.0,20172702115451
41.4,-123.5,20172702115451
51.8,-124.8,20172712315382
46.3,-121.6,20172761915386
35.9,-85.5,20172761915386
36.3,-113.5,20172772015388
36.1,-119.3,20172772015388
38.3,-78.6,20172772015388
35.3,-113.4,20172822115414
34.3,-120.0,20172822115414
40.5,-127.7,20172822115414
38.3,-109.6,20172852215361
43.0,-114.4,20172852215361
41.1,-127.0,20172852215361
41.0,-127.1,20172871715350
32.8,-82.2,20172901715326
27.4,-98.1,20172901715326
52.5,-102.6,20172912015314
41.0,-109.0,20172912015314
31.0,-84.9,20172912015314
35.5,-88.5,20172912015314
34.0,-96.5,20172912015314
35.5,-80.2,20172931815305
42.8,-113.8,20172972215393
38.0,-119.9,20172972215393
30.4,-99.5,20172972215393
39.7,-106.2,20172982015393
36.2,-106.7,20172982015393
36.5,-112.6,20172982015393
34.8,-94.1,20172982015393
29.7,-95.4,20172982015393
33.9,-110.0,20172992115398
36.5,-112.5,20172992115398
35.3,-80.6,20173042015407
28.9,-82.8,20173042015407
31.5,-84.5,20173042015407
37.7,-91.8,20173042015407
30.6,-85.0,20173071845380
30.2,-86.0,20173331515381
36.1,-123.6,20173482215411
37.0,-122.9,20173512215421
31.5,-88.2,20180041715395
30.9,-86.5,20180152115426
34.4,-99.5,20180222200399
37.6,-96.3,20180252000421
32.0,-98.2,20180252000421
31.3,-87.6,20180302000443
41.8,-122.1,20180372300476
33.1,-100.0,20180572000406
35.2,-96.1,20180572000406
31.1,-99.4,20180572000406
34.2,-81.0,20180581800411
31.7,-87.4,20180581800411
33.5,-102.0,20180602315418
38.7,-99.3,20180602315418
37.2,-99.6,20180602315418
36.0,-101.6,20180612015421
32.1,-82.0,20180621815381
26.3,-82.0,20180622115381
29.6,-93.0,20180622115381
37.3,-95.2,20180622315381
26.8,-83.5,20180642015392
29.7,-97.13,20180661930402
34.6,-100.3,20180712215420
37.0,-93.8,20180712215420
26.7,-79.0,20180822000452
28.6,-82.8,20180822000452
26.4,-84.7,20180822000452
30.2,-82.0,20180832000455
29.0,-87.4,20180832000455
32.8,-82.0,20180951715401
31.5,-87.8,20180951715401
33.4,-108.5,20181001930413
34.5,-87.6,20181001930413
35.5,-98.9,20181001930413
41.0,-103.5,20181032115414
35.0,-99.7,20181041515419
37.3,-100.0,20181052215421
31.0,-101.0,20181052215421
32.5,-109.0,20181052215421
41.5,-106.5,20181071930427
31.8,-87.3,20181071930427
38.2,-102.2,20181082215430
38.2,-91.5,20181082215430
34.5,-88.0,20181101815437
36.5,-103.2,20181132215443
44.8,-125.6,20181132215443
35.5,-112.0,20181141715380
27.6,-82.7,20181141915380
35.5,-96.0,20181142015381
31.0,-83.5,20181151715383
34.8,-110.5,20181151915384
32.3,-82.6,20181202215404
36.6,-88.0,20181202215404
56.0,-111.2,20181352115407
33.6,-110.0,20181402345425
58.6,-111.0,20181402345425
37.0,-110.0,20181432345436
45.0,-110.0,20181522200477
44.0,-112.0,20181622200394
39.5,-122.0,20182061800387
49.0,-127.0,20182101800401
44.5,-109.0,20182452345354
46.0,-128.0,20182452345354
47.0,-104.74,20182661615342
44.7,-127.4,20182672345344
40.3,-104.7,20182762200375
42.0,-126.0,20182802115377
49.0,-131.0,20182882345380
41.0,-126.0,20183122000358
41.0,-131.0,20183131800356
32.3,-88.7,20190111900352
30.5,-84.5,20190211900344
29.4,-81.2,20190481815309
33.6,-86.2,20190642100306
33.0,-87.6,20190642100306
36.3,-95.0,20190642100306
36.0,-75.9,20190652015305
29.3,-83.2,20190652015305
