GEOID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01001,42463,42183,42841,44241,45379,45019,46491,50375,51622,53081,53049,48863,51441,51868,54366,56580,54487,58343,59338,58233
01003,41283,40406,40818,41961,42227,42804,45493,49163,51957,48637,47618,50144,48867,47539,49626,52387,56460,56607,57588,59871
01005,26612,25480,25279,26062,26495,29534,28692,30370,30896,28802,33074,30117,30287,30981,34971,31433,32884,32490,34382,35972
01007,31776,31074,31387,32924,34055,34212,36794,38907,41076,38294,35472,37347,37392,39781,39546,40767,43079,45795,46064,47918
01009,36863,36175,36386,37758,38643,40588,41494,43266,46086,41520,42906,41940,44225,44392,45567,50487,47213,48253,50412,52902
01011,21400,20367,20137,20903,20485,21728,23095,24969,26980,24206,25969,26038,25854,25937,26580,28251,34278,29113,29267,31906
01013,25763,25284,25826,26951,27244,28058,29158,30460,31449,27794,29500,30489,30605,31041,32512,33868,35409,36842,37365,39944
01015,32604,31849,32013,33137,34813,35937,36684,37478,39997,37340,37916,39060,39212,37898,41123,42091,41778,45937,45400,47747
01017,30505,29824,29993,30844,30573,31538,32014,33904,35614,30621,30061,33500,32320,33883,34116,35560,39530,36883,39917,42015
01019,31436,30738,31011,32158,33564,33858,37097,37376,38028,38024,34410,34738,37868,37478,38013,39144,41456,44842,42132,45982
01021,33650,32883,33129,34201,35507,36098,36717,39663,40292,38916,38553,38833,39621,41348,41450,42767,44188,46405,47547,49692
01023,26388,25878,25928,26829,27690,27512,28730,31508,30728,31067,32003,32940,33390,33581,35049,35089,32691,36711,39907,39808
01025,28734,28010,27987,28644,28776,29531,29659,32627,34101,32729,33739,32642,34606,34593,36620,37317,34061,36719,40741,43822
01027,28940,28289,28765,29456,31194,33512,32512,36009,33032,34831,33035,32454,34579,33344,35940,38908,38512,39642,39201,40562
01029,31551,31125,31359,32834,34128,34287,35119,38918,37742,37870,37566,39153,38235,40407,40418,42136,43483,45480,46495,51276
01031,34561,33916,34621,35739,37066,37025,41417,36819,43145,43296,40779,42173,45631,44666,46931,46858,48632,51998,55122,57299
01033,33227,32249,32206,33550,34575,35590,36690,37530,39947,37111,37455,37269,39771,40032,43057,41171,46572,46100,49055,46683
01035,23683,23177,23366,23726,24334,24587,25992,27555,27068,26882,27855,26914,27110,27196,29101,29981,29758,30796,32613,41539
01037,29926,29114,28979,29801,30173,31142,32424,34667,36050,34795,33721,34391,32960,35175,34679,36078,36441,42442,42423,42024
01039,27531,27108,27654,28670,29237,30847,30293,32490,33773,32179,33484,32138,34017,35187,36149,36355,35010,39093,40203,44836
01041,27345,26965,27425,28358,28909,29410,30576,33156,34402,31849,35577,34534,33648,34105,34445,36759,37374,38419,39057,43309
