GEOID,YYYYMM,deaths
01073,199901,35
01097,199901,22
01101,199901,12
01125,199901,10
04003,199901,12
04013,199901,187
04015,199901,23
04019,199901,43
04021,199901,11
04025,199901,16
05119,199901,11
06001,199901,66
06007,199901,22
06013,199901,41
06019,199901,35
06023,199901,12
06029,199901,43
06031,199901,10
06037,199901,306
06041,199901,14
06053,199901,10
06055,199901,11
06059,199901,89
06061,199901,11
06065,199901,84
06067,199901,52
06071,199901,64
06073,199901,129
06075,199901,45
06077,199901,34
06081,199901,30
06083,199901,14
06085,199901,60
06087,199901,12
06089,199901,14
06095,199901,16
06097,199901,27
06099,199901,20
06107,199901,12
06111,199901,22
06113,199901,11
08001,199901,12
08005,199901,16
08031,199901,37
08041,199901,23
08059,199901,22
08101,199901,17
09001,199901,27
09003,199901,48
09005,199901,11
09009,199901,44
09011,199901,13
10003,199901,26
10005,199901,13
11001,199901,15
12009,199901,21
12011,199901,76
12015,199901,10
12017,199901,11
12021,199901,12
12031,199901,42
12033,199901,20
12053,199901,20
12057,199901,56
12069,199901,14
12071,199901,24
12081,199901,27
12083,199901,25
12086,199901,98
12095,199901,36
12099,199901,59
12101,199901,31
12103,199901,82
12105,199901,38
12111,199901,10
12115,199901,25
12117,199901,17
12127,199901,39
13021,199901,11
13051,199901,12
13067,199901,19
13089,199901,19
13121,199901,33
13135,199901,13
13245,199901,13
15003,199901,20
17031,199901,189
17043,199901,34
17089,199901,13
17097,199901,15
17115,199901,12
17119,199901,11
17163,199901,11
17167,199901,14
17197,199901,13
17201,199901,16
18003,199901,18
18035,199901,13
18039,199901,13
18057,199901,10
18089,199901,25
18097,199901,38
18141,199901,16
18163,199901,11
18177,199901,11
19113,199901,13
19153,199901,16
19155,199901,10
19193,199901,10
20091,199901,14
20173,199901,24
21067,199901,13
21111,199901,50
21117,199901,12
22017,199901,12
22033,199901,14
22051,199901,17
22071,199901,18
22073,199901,11
23001,199901,10
23019,199901,11
24003,199901,13
24005,199901,37
24031,199901,20
24510,199901,29
25001,199901,19
25005,199901,38
25009,199901,32
25013,199901,19
25017,199901,54
25021,199901,34
25023,199901,21
25025,199901,33
25027,199901,35
26025,199901,13
26049,199901,20
26081,199901,22
26099,199901,27
26125,199901,39
26147,199901,15
26161,199901,10
26163,199901,91
27053,199901,39
27123,199901,22
27137,199901,14
28049,199901,13
29077,199901,13
29095,199901,29
29099,199901,11
29183,199901,15
29189,199901,44
29510,199901,13
31055,199901,19
32003,199901,70
32031,199901,19
33011,199901,21
33015,199901,10
34001,199901,14
34003,199901,40
34005,199901,26
34007,199901,41
34009,199901,13
34013,199901,38
34015,199901,11
34017,199901,26
34021,199901,15
34023,199901,23
34025,199901,29
34027,199901,20
34029,199901,37
34031,199901,20
34035,199901,14
34039,199901,20
35001,199901,36
36001,199901,19
36005,199901,36
36007,199901,15
36027,199901,17
36029,199901,41
36047,199901,73
36055,199901,20
36059,199901,54
36061,199901,61
36063,199901,21
36065,199901,20
36067,199901,23
36071,199901,21
36081,199901,73
36083,199901,18
36085,199901,21
36087,199901,14
36089,199901,10
36093,199901,11
36101,199901,10
36103,199901,73
36111,199901,12
36119,199901,50
37021,199901,17
37051,199901,18
37067,199901,13
37081,199901,15
37089,199901,13
37119,199901,28
37183,199901,20
39017,199901,15
39029,199901,10
39035,199901,52
39049,199901,46
39061,199901,47
39085,199901,13
39093,199901,12
39095,199901,32
39099,199901,10
39113,199901,30
39151,199901,29
39153,199901,31
39155,199901,14
39165,199901,10
40109,199901,36
40143,199901,29
41005,199901,16
41029,199901,11
41039,199901,18
41051,199901,22
41067,199901,15
42003,199901,66
42011,199901,28
42017,199901,41
42019,199901,11
42029,199901,21
42041,199901,17
42043,199901,10
42045,199901,33
42049,199901,17
42055,199901,10
42069,199901,23
42071,199901,22
42077,199901,14
42079,199901,19
42081,199901,11
42091,199901,45
42095,199901,12
42101,199901,86
42129,199901,15
42133,199901,13
44007,199901,34
45007,199901,16
45019,199901,15
45045,199901,26
45051,199901,12
45083,199901,16
47037,199901,22
47065,199901,13
47093,199901,28
47157,199901,36
48029,199901,41
48113,199901,72
48135,199901,10
48141,199901,22
48167,199901,10
48201,199901,80
48245,199901,11
48251,199901,12
48303,199901,15
48355,199901,19
48375,199901,13
48439,199901,55
48451,199901,10
48453,199901,20
48485,199901,11
49035,199901,33
51059,199901,26
51087,199901,12
51760,199901,14
51810,199901,16
53033,199901,65
53035,199901,12
53053,199901,29
53061,199901,28
53063,199901,19
53067,199901,17
53077,199901,10
54039,199901,15
55025,199901,16
55079,199901,38
55101,199901,11
55133,199901,10
01055,199902,11
01073,199902,19
04013,199902,186
04015,199902,16
04019,199902,62
04021,199902,16
04025,199902,19
05119,199902,16
06001,199902,67
06007,199902,16
06013,199902,31
06019,199902,28
06029,199902,34
06037,199902,274
06039,199902,13
06047,199902,16
06053,199902,13
06057,199902,10
06059,199902,90
06061,199902,13
06065,199902,91
06067,199902,69
06071,199902,85
06073,199902,108
06075,199902,31
06077,199902,21
06081,199902,35
06083,199902,14
06085,199902,50
06089,199902,14
06095,199902,15
06097,199902,18
06099,199902,21
06107,199902,10
06111,199902,19
06113,199902,10
08001,199902,15
08005,199902,19
08013,199902,13
08031,199902,37
08041,199902,21
08059,199902,24
08101,199902,14
08123,199902,11
09001,199902,28
09003,199902,39
09005,199902,15
09009,199902,38
09011,199902,10
10001,199902,12
10003,199902,18
10005,199902,14
11001,199902,12
12005,199902,11
12009,199902,34
12011,199902,78
12015,199902,10
12017,199902,10
12019,199902,13
12021,199902,15
12031,199902,39
12033,199902,17
12057,199902,60
12069,199902,21
12071,199902,23
12081,199902,23
12083,199902,30
12086,199902,85
12095,199902,26
12099,199902,65
12101,199902,37
12103,199902,67
12105,199902,28
12111,199902,16
12115,199902,36
12117,199902,14
12127,199902,33
13063,199902,10
13067,199902,18
13121,199902,29
13135,199902,11
15003,199902,20
17031,199902,184
17043,199902,40
17089,199902,12
17097,199902,26
17119,199902,18
17143,199902,17
17161,199902,13
17163,199902,14
17167,199902,10
17197,199902,18
17201,199902,14
18003,199902,14
18035,199902,12
18089,199902,22
18097,199902,60
18141,199902,12
18163,199902,12
19013,199902,10
19113,199902,11
19153,199902,13
20173,199902,24
20177,199902,10
20209,199902,10
21067,199902,11
21111,199902,46
21117,199902,13
22015,199902,12
22017,199902,12
22019,199902,11
22033,199902,10
22051,199902,12
22071,199902,13
23001,199902,19
23011,199902,10
23019,199902,11
23031,199902,17
24003,199902,22
24005,199902,48
24031,199902,29
24033,199902,28
24510,199902,33
25001,199902,23
25003,199902,11
25005,199902,31
25009,199902,38
25013,199902,33
25017,199902,70
25021,199902,37
25023,199902,20
25025,199902,27
25027,199902,42
26021,199902,12
26049,199902,23
26065,199902,10
26075,199902,15
26081,199902,18
26099,199902,40
26125,199902,51
26161,199902,13
26163,199902,79
27053,199902,61
27123,199902,15
27137,199902,13
29047,199902,17
29077,199902,10
29095,199902,28
29183,199902,10
29189,199902,41
29510,199902,17
30013,199902,10
30111,199902,10
31055,199902,28
31109,199902,12
32003,199902,54
32031,199902,16
33011,199902,23
34001,199902,13
34003,199902,27
34005,199902,25
34007,199902,22
34013,199902,34
34015,199902,12
34017,199902,21
34023,199902,27
34025,199902,26
34027,199902,16
34029,199902,34
34031,199902,16
34035,199902,10
34039,199902,23
35001,199902,34
36001,199902,14
36005,199902,27
36007,199902,16
36013,199902,13
36027,199902,11
36029,199902,41
36047,199902,72
36055,199902,35
36059,199902,45
36061,199902,49
36063,199902,19
36065,199902,26
36067,199902,31
36071,199902,12
36075,199902,10
36081,199902,48
36083,199902,16
36085,199902,19
36087,199902,15
36091,199902,16
36093,199902,11
36101,199902,12
36103,199902,43
36111,199902,14
36119,199902,48
37063,199902,10
37067,199902,16
37081,199902,27
37119,199902,25
37183,199902,13
39017,199902,15
39035,199902,68
39049,199902,47
39061,199902,45
39085,199902,13
39089,199902,16
39093,199902,14
39095,199902,24
39099,199902,25
39113,199902,37
39151,199902,17
39153,199902,22
39155,199902,17
40109,199902,26
40143,199902,25
41005,199902,11
41017,199902,12
41019,199902,10
41029,199902,18
41033,199902,10
41039,199902,14
41043,199902,11
41051,199902,32
41067,199902,17
42003,199902,85
42007,199902,17
42011,199902,27
42017,199902,33
42019,199902,12
42021,199902,13
42029,199902,17
42041,199902,17
42043,199902,22
42045,199902,41
42049,199902,14
42069,199902,11
42071,199902,28
42073,199902,10
42075,199902,11
42077,199902,11
42079,199902,18
42081,199902,11
42085,199902,10
42089,199902,10
42091,199902,40
42095,199902,11
42101,199902,71
42129,199902,28
42133,199902,19
44003,199902,13
44007,199902,53
45019,199902,11
45045,199902,18
45079,199902,16
45083,199902,15
45091,199902,13
47037,199902,19
47065,199902,10
47093,199902,18
47157,199902,23
47163,199902,11
48029,199902,63
48039,199902,14
48113,199902,87
48121,199902,18
48135,199902,12
48141,199902,20
48167,199902,10
48181,199902,12
48201,199902,70
48215,199902,18
48245,199902,16
48251,199902,10
48303,199902,23
48309,199902,11
48329,199902,11
48355,199902,10
48423,199902,17
48439,199902,78
48451,199902,11
48453,199902,29
49035,199902,28
51041,199902,11
51059,199902,18
51087,199902,22
51550,199902,12
51650,199902,11
51710,199902,15
51760,199902,16
51810,199902,11
53011,199902,10
53033,199902,75
53035,199902,14
53053,199902,28
53061,199902,18
53063,199902,29
53067,199902,18
53073,199902,10
53077,199902,12
54039,199902,16
55025,199902,20
55059,199902,11
55079,199902,39
55133,199902,15
01003,199903,14
01015,199903,10
01055,199903,14
01073,199903,46
01089,199903,11
01097,199903,10
01117,199903,10
04003,199903,10
04013,199903,172
04015,199903,13
04019,199903,44
04025,199903,10
05119,199903,12
06001,199903,51
06007,199903,22
06013,199903,35
06019,199903,32
06029,199903,27
06037,199903,308
06047,199903,11
06059,199903,86
06061,199903,12
06065,199903,94
06067,199903,62
06071,199903,70
06073,199903,109
06075,199903,35
06077,199903,31
06079,199903,10
06081,199903,30
06083,199903,21
06085,199903,49
06087,199903,13
06089,199903,22
06095,199903,19
06097,199903,20
06099,199903,21
06107,199903,15
06111,199903,21
08001,199903,18
08005,199903,13
08013,199903,10
08031,199903,40
08041,199903,23
08059,199903,28
08101,199903,11
09001,199903,32
09003,199903,46
09005,199903,10
09009,199903,35
09011,199903,12
09015,199903,10
10003,199903,14
10005,199903,12
11001,199903,21
12001,199903,16
12005,199903,12
