mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2,rank_test_set_r2,n_features,features
49.49190986,1.237819413,1.675632763,0.039258491,0.1,1.50E-07,1,3,140,"{'max_samples': 0.1, 'min_impurity_decrease': 1.5e-07, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.50586445,6.142660356,16,-0.068280291,0.000559623,3,-0.299944227,0.002042467,3,-0.564579711,0.024241601,1,0.721040747,0.007433492,1,0.720916823,0.007413703,1,0.72521858,2,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
50.12911258,1.455022934,1.703946972,0.037370179,0.1,2.00E-07,1,3,140,"{'max_samples': 0.1, 'min_impurity_decrease': 2e-07, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.49347102,6.136941928,3,-0.068300661,0.000561083,5,-0.300038531,0.002047661,5,-0.564817721,0.024166651,2,0.720922986,0.007379749,2,0.720798824,0.007361608,2,0.725066415,9,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
55.7578289,3.771171053,2.005848479,0.08487641,0.1,0,1,3,140,"{'max_samples': 0.1, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.49730904,6.151475191,4,-0.068245656,0.000560012,1,-0.299850887,0.002066807,1,-0.564880773,0.024128343,3,0.720891884,0.00736484,3,0.72076722,0.007345831,3,0.725259164,1,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
49.60232582,1.20344601,1.654320407,0.044111562,0.1,3.50E-07,1,3,140,"{'max_samples': 0.1, 'min_impurity_decrease': 3.5e-07, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.51397247,6.1468896,30,-0.068372147,0.000562125,8,-0.300299248,0.002037498,8,-0.564907795,0.024376024,4,0.720881238,0.007478446,4,0.720756145,0.007459664,4,0.725152292,4,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
49.92081673,1.604751779,1.65158422,0.024088321,0.1,2.50E-07,1,3,140,"{'max_samples': 0.1, 'min_impurity_decrease': 2.5e-07, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.48923759,6.148274419,2,-0.068335683,0.000582434,6,-0.300184499,0.002071651,6,-0.564909999,0.024180028,5,0.720878112,0.007382335,5,0.720753364,0.007364263,5,0.725033575,10,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
49.28500056,1.318867033,1.680858779,0.050862043,0.1,4.50E-07,1,3,140,"{'max_samples': 0.1, 'min_impurity_decrease': 4.5e-07, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.50240587,6.148789709,12,-0.068441811,0.000569509,13,-0.300550828,0.00204893,12,-0.564921996,0.024228984,6,0.720874143,0.00740936,6,0.720747814,0.007388971,6,0.725149237,5,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
50.74436471,1.967661985,1.667427158,0.042091034,0.1,4.00E-07,1,3,140,"{'max_samples': 0.1, 'min_impurity_decrease': 4e-07, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.50790953,6.137936478,21,-0.068380622,0.000562527,9,-0.300350405,0.002026494,9,-0.564932048,0.024275329,7,0.720867713,0.007420871,7,0.720743518,0.007401607,7,0.725074761,8,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
50.26947491,1.405630507,1.743117094,0.055200083,0.1,5.00E-08,1,3,140,"{'max_samples': 0.1, 'min_impurity_decrease': 5e-08, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.5013507,6.145880005,10,-0.068253081,0.000556338,2,-0.299887617,0.002033847,2,-0.564939025,0.024037195,8,0.720862005,0.007321072,8,0.720737706,0.007302399,8,0.725210126,3,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
49.35519843,1.170757579,1.65997498,0.03537845,0.1,3.00E-07,1,3,140,"{'max_samples': 0.1, 'min_impurity_decrease': 3e-07, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.48538846,6.1393542,1,-0.068347415,0.000576944,7,-0.300226051,0.002089509,7,-0.56496353,0.024171238,9,0.720850627,0.007386412,9,0.720726671,0.007366997,9,0.725085514,7,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
49.72647209,1.325621915,1.684832406,0.047644146,0.1,1.00E-07,1,3,140,"{'max_samples': 0.1, 'min_impurity_decrease': 1e-07, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",-27.4985706,6.13200145,6,-0.068281159,0.000575558,4,-0.299993054,0.002033061,4,-0.564987058,0.024021883,10,0.720838993,0.007299218,10,0.720714136,0.007279388,10,0.725133873,6,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
49.79810147,1.116259247,1.876187181,0.103469119,0.1,0,1,4,140,"{'max_samples': 0.1, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 140}",-27.49976813,6.147635607,7,-0.068410467,0.000568961,10,-0.300527087,0.002014957,10,-0.566294883,0.024081926,11,0.720184159,0.007327702,11,0.720067383,0.007310041,11,0.724538647,14,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
