mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_r2,std_test_r2,rank_test_r2
129.2960222,0.843887988,3.868876195,0.156076357,0.1,2,4,170,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 170}",-0.860610504,0.004001073,1,-1.793768881,0.086585983,1,0.326990372,0.011009726,1
114.2582065,1.053635144,3.532415509,0.161025512,0.1,2,4,150,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 150}",-0.860879863,0.003793532,2,-1.795104979,0.086799645,2,0.32649058,0.011041601,2
98.81707673,1.215705269,3.125009251,0.101385318,0.1,2,4,130,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 130}",-0.861410826,0.003643365,3,-1.796964902,0.086541521,3,0.325788002,0.010989831,3
84.05088007,0.617998378,2.622927237,0.102767728,0.1,2,4,110,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 110}",-0.862207331,0.003936736,4,-1.799685626,0.086451845,4,0.324764604,0.010930833,4
68.54485693,0.563869488,2.317603588,0.120541134,0.1,2,4,90,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 90}",-0.863185059,0.004091459,5,-1.803170559,0.087181977,5,0.323465139,0.01106336,5
125.8111699,0.749589642,3.234618735,0.299047481,0.1,3,4,170,"{'max_samples': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 170}",-0.865685524,0.003971244,6,-1.812213293,0.087084459,6,0.320066362,0.010972324,6
109.954179,0.893061233,2.942106247,0.091398504,0.1,3,4,150,"{'max_samples': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150}",-0.865841087,0.003802121,7,-1.813110195,0.0869963,7,0.319728358,0.010897079,7
95.3783339,0.50081268,2.543899989,0.064820667,0.1,3,4,130,"{'max_samples': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 130}",-0.866236807,0.003605274,8,-1.814430844,0.086818032,8,0.319229178,0.010878542,8
80.83382773,1.101585772,2.150568247,0.052374263,0.1,3,4,110,"{'max_samples': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 110}",-0.866853786,0.003895833,9,-1.816561244,0.08669719,9,0.318427281,0.010815099,9
65.91651428,0.656643232,1.776200485,0.080819623,0.1,3,4,90,"{'max_samples': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 90}",-0.86760873,0.004154238,10,-1.819451311,0.087793981,10,0.31735508,0.011095455,10
