mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2_score,n_features,features,ALAND_ATOTAL_ratio_ranking,BB_g_m-2_ranking,C_g_m-2_ranking,DM_kg_m-2_ranking,GEOID_ranking,NPP_g_m-2_ranking,PDSI_ranking,Rh_g_m-2_ranking,SP01_ranking,YYYYMM_ranking,burned_frac_ranking,median_inc_ranking,month_ranking,pm25_ug_m-3_ranking,popuDensity_ALAND_km2_ranking,precip_in_ranking,smallf_frac_ranking,temp_F_ranking,1,2,3,4,5,6,7
70.88594465,2.621349875,1.503158903,0.126255188,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.3325328,0.001761405,1,-0.609907896,0.021604251,1,0.702054654,0.006880554,1,0.70197177,0.006855109,1,0.71360998,9,"['popuDensity_ALAND_km2', 'month', 'temp_F', 'median_inc', 'YYYYMM', 'PDSI', 'GEOID', 'Rh_g_m-2', 'SP01']",2,6,,7,1,,1,1,1,1,4,1,1,,1,3,5,1,0.70197177,0.701925466,0.699363277,0.69765441,0.696884433,0.69646526,0.696517443
79.54194782,0.97805401,1.629527235,0.166713853,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.33257229,0.001934418,2,-0.612987809,0.021926389,2,0.700561234,0.007021985,2,0.700468075,0.006992215,2,0.71229884,10,"['popuDensity_ALAND_km2', 'YYYYMM', 'SP01', 'GEOID', 'month', 'PDSI', 'pm25_ug_m-3', 'NPP_g_m-2', 'temp_F', 'ALAND_ATOTAL_ratio']",1,5,6,,1,1,1,,1,1,3,,1,1,1,2,4,1,0.700468075,0.69786915,0.696316631,0.695633152,0.695289667,0.695262209,
74.40172815,0.857335533,1.655898523,0.17750729,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.341383503,0.001447331,3,-0.616630042,0.020433593,3,0.698752955,0.0063175,3,0.698677041,0.006291764,3,0.710326207,9,"['month', 'YYYYMM', 'temp_F', 'median_inc', 'pm25_ug_m-3', 'GEOID', 'popuDensity_ALAND_km2', 'Rh_g_m-2', 'NPP_g_m-2']",,6,7,5,1,1,,1,,1,3,1,1,1,1,2,4,1,0.699058325,0.695995751,0.694465155,0.693658457,0.693389534,0.693212557,0.693263333
79.22668891,1.408611339,1.703531814,0.169451742,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.400403765,0.002388817,7,-0.661578774,0.01975803,4,0.67678867,0.005643612,4,0.676700429,0.00561336,4,0.687788868,9,"['PDSI', 'pm25_ug_m-3', 'median_inc', 'SP01', 'GEOID', 'temp_F', 'popuDensity_ALAND_km2', 'NPP_g_m-2', 'YYYYMM']",3,7,6,5,1,1,1,,1,1,4,1,,1,1,2,,1,0.676700429,0.674216682,0.673179652,0.670678058,0.670042966,0.670047785,0.670003661
69.50043421,1.985033861,1.558537865,0.149840618,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.361733636,0.002218061,4,-0.66829788,0.023028966,5,0.673546503,0.007018284,5,0.673440342,0.006981381,5,0.685606645,9,"['pm25_ug_m-3', 'temp_F', 'month', 'YYYYMM', 'Rh_g_m-2', 'SP01', 'median_inc', 'ALAND_ATOTAL_ratio', 'GEOID']",1,5,6,7,1,3,2,1,1,1,4,1,1,1,,,,1,0.673207001,0.671806918,0.669971276,0.668301204,0.667843858,0.667783564,0.667806667
71.14734621,1.137895067,1.605715513,0.149960222,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.365840577,0.00208515,6,-0.66997792,0.022488169,6,0.672708168,0.006735431,6,0.67261552,0.006703046,6,0.684678455,9,"['Rh_g_m-2', 'NPP_g_m-2', 'GEOID', 'month', 'ALAND_ATOTAL_ratio', 'temp_F', 'median_inc', 'pm25_ug_m-3', 'YYYYMM']",1,7,6,5,1,1,,1,,1,3,1,1,1,,2,4,1,0.67261552,0.669766825,0.668077976,0.66720884,0.666678892,0.666721015,0.666668419
72.4234669,1.385499339,1.627431011,0.145970368,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.364595754,0.002378463,5,-0.670855054,0.022605167,7,0.67228321,0.006781614,7,0.672187737,0.006748018,7,0.684920075,9,"['SP01', 'NPP_g_m-2', 'pm25_ug_m-3', 'YYYYMM', 'median_inc', 'Rh_g_m-2', 'month', 'ALAND_ATOTAL_ratio', 'GEOID']",1,7,5,6,1,1,2,1,1,1,3,1,1,1,,,4,,0.671839376,0.670562531,0.668738761,0.66778887,0.66739281,0.667454554,0.667288496
75.023329,0.890880299,1.744956088,0.286856828,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.425099988,0.002421618,8,-0.718730003,0.022037308,8,0.648903167,0.006270231,8,0.64877805,0.006232096,8,0.66318832,9,"['GEOID', 'median_inc', 'ALAND_ATOTAL_ratio', 'Rh_g_m-2', 'PDSI', 'YYYYMM', 'pm25_ug_m-3', 'SP01', 'temp_F']",1,,6,7,1,2,1,1,1,1,4,1,,1,,3,5,1,0.648788475,0.647871257,0.645398504,0.642911893,0.641828504,0.64135102,0.641338321
88.20347188,2.060140841,1.596320629,0.147106099,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.480940912,0.001464861,10,-0.756297502,0.021505767,9,0.630476346,0.006208113,9,0.630401076,0.006203061,9,0.641804155,10,"['NPP_g_m-2', 'ALAND_ATOTAL_ratio', 'popuDensity_ALAND_km2', 'pm25_ug_m-3', 'month', 'SP01', 'Rh_g_m-2', 'temp_F', 'PDSI', 'GEOID']",1,6,3,5,1,1,1,1,1,,,,1,1,1,2,4,1,0.630401076,0.627684173,0.62600836,0.62533382,0.625309891,0.625287602,
80.38231695,1.569767005,1.618877006,0.146092018,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.478771572,0.001324678,9,-0.757830489,0.02235797,10,0.629732198,0.006535119,10,0.629658376,0.006516267,10,0.639517035,9,"['median_inc', 'PDSI', 'month', 'temp_F', 'GEOID', 'SP01', 'pm25_ug_m-3', 'NPP_g_m-2', 'popuDensity_ALAND_km2']",3,6,7,,1,1,1,2,1,,4,1,1,1,1,,5,1,0.629658376,0.627531786,0.628816482,0.627262421,0.626697534,0.626307411,0.626284531
90.36938083,0.938562496,1.649647522,0.181816622,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.488802798,0.001798043,11,-0.760985707,0.021900703,11,0.628194351,0.006370884,11,0.628111686,0.006355963,11,0.638442553,10,"['GEOID', 'NPP_g_m-2', 'popuDensity_ALAND_km2', 'pm25_ug_m-3', 'ALAND_ATOTAL_ratio', 'SP01', 'Rh_g_m-2', 'PDSI', 'month', 'median_inc']",1,5,4,6,1,1,1,1,1,,3,1,1,1,1,2,,,0.628111686,0.625674633,0.624006019,0.623615507,0.623557964,0.623552496,
85.82959738,0.820221104,1.792559314,0.217046488,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.50105925,0.001736431,12,-0.774228416,0.021178478,12,0.621711269,0.005918265,12,0.621633949,0.00590258,12,0.631245138,10,"['temp_F', 'PDSI', 'SP01', 'median_inc', 'GEOID', 'NPP_g_m-2', 'popuDensity_ALAND_km2', 'Rh_g_m-2', 'ALAND_ATOTAL_ratio', 'month']",1,6,,5,1,1,1,1,1,,3,1,1,,1,2,4,1,0.621633949,0.619148467,0.617599755,0.617040156,0.616469275,0.616558371,
91.01144049,1.426485136,1.674723554,0.201814638,0.1,2,4,120,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 120}",-0.563571149,0.001443352,13,-0.86305853,0.02017708,13,0.578293084,0.004916535,13,0.578202632,0.00489509,13,0.586678581,10,"['precip_in', 'PDSI', 'temp_F', 'median_inc', 'SP01', 'NPP_g_m-2', 'Rh_g_m-2', 'GEOID', 'ALAND_ATOTAL_ratio', 'popuDensity_ALAND_km2']",1,4,5,6,1,1,1,1,1,,2,1,,,1,1,3,1,0.578202632,0.577272729,0.576882547,0.576525021,0.576474489,0.576593381,
