mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2,rank_test_set_r2,n_features,features
284.8191427,3.173984681,2.427987337,0.043319363,0.7,0,3,8,140,"{'max_samples': 0.7, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 140}",-27.36893641,6.184832987,28,-0.044122386,0.000537743,16,-0.204584948,0.001975722,16,-0.500599014,0.022492694,1,0.752565059,0.007265868,1,0.752545972,0.00726125,1,0.752827376,1,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
286.8483422,7.204542255,2.493102431,0.044037028,0.7,0,3,2,140,"{'max_samples': 0.7, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 140}",-27.36798684,6.186070684,25,-0.043993358,0.000538928,13,-0.2041344,0.001962786,13,-0.500635116,0.02260257,2,0.752549313,0.007326493,2,0.752528759,0.007321479,2,0.752581466,6,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
287.044432,4.527146025,2.516305304,0.062180465,0.7,0,3,4,140,"{'max_samples': 0.7, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 140}",-27.36798684,6.186070684,25,-0.043993358,0.000538928,13,-0.2041344,0.001962786,13,-0.500635116,0.02260257,2,0.752549313,0.007326493,2,0.752528759,0.007321479,2,0.752581466,6,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
287.1032322,5.419632905,2.493654037,0.028688007,0.7,0,3,6,140,"{'max_samples': 0.7, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 140}",-27.36798684,6.186070684,25,-0.043993358,0.000538928,13,-0.2041344,0.001962786,13,-0.500635116,0.02260257,2,0.752549313,0.007326493,2,0.752528759,0.007321479,2,0.752581466,6,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
323.3952468,1.386901036,2.434592032,0.057168217,0.8,0,3,9,140,"{'max_samples': 0.8, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 140}",-27.36045944,6.177314246,37,-0.043590465,0.000536393,28,-0.202514831,0.001924512,28,-0.500812179,0.022184312,1,0.752454693,0.007173012,1,0.7524362,0.007169314,1,0.753006587,9,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
324.1445545,2.102317839,2.450418067,0.041955012,0.8,0,3,8,140,"{'max_samples': 0.8, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 140}",-27.35676066,6.176288291,31,-0.043482888,0.000531182,26,-0.202124338,0.001914191,25,-0.500854242,0.02231883,2,0.752435171,0.007251103,2,0.752415975,0.007247411,2,0.752855373,13,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
323.5881637,1.824036372,2.415204406,0.050893324,0.8,0,3,10,140,"{'max_samples': 0.8, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 140}",-27.35630027,6.174348999,29,-0.043720217,0.000526566,30,-0.202999645,0.001904594,30,-0.500931548,0.022249262,3,0.75239629,0.007172582,3,0.752378558,0.007169026,3,0.753019636,8,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
282.9218035,5.309713216,2.820402861,0.101907898,0.6,0,3,7,140,"{'max_samples': 0.6, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 140}",-27.3653009,6.191329556,44,-0.044881644,0.000550756,47,-0.207612741,0.002023029,47,-0.500998741,0.022270911,4,0.752366247,0.007113706,4,0.752347605,0.00710952,4,0.753140189,5,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
324.4368389,2.017801565,2.517645383,0.074887618,0.8,0,3,7,140,"{'max_samples': 0.8, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 140}",-27.35507616,6.177077169,26,-0.043415267,0.00053181,23,-0.201883057,0.001916628,21,-0.501028978,0.022279054,5,0.75234911,0.007235254,5,0.752329067,0.007231349,5,0.752664028,20,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
285.3552559,1.824758731,2.909740925,0.170556327,0.6,0,2,7,140,"{'max_samples': 0.6, 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 140}",-27.36262305,6.186351372,40,-0.044152401,0.00053469,38,-0.204563952,0.002013299,38,-0.501128517,0.022376274,6,0.752311738,0.007190741,6,0.752283571,0.007185482,6,0.753206517,2,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
