mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2,rank_test_set_r2,n_features,features
177.2479883,1.600080995,2.174349976,0.057153535,0.38,3.68E-07,1,2,140,"{'max_samples': 0.38, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.39475218,6.190265067,16,-0.047443637,0.000487685,12,-0.217131347,0.001847729,12,-0.508405,0.022166585,1,0.748758674,0.007054682,1,0.748682101,0.007043164,1,0.749835263,6,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
185.1224226,3.633128614,2.206240129,0.05639999,0.41,3.68E-07,1,2,140,"{'max_samples': 0.41, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.3912952,6.190078921,12,-0.046855869,0.000492772,9,-0.214886521,0.001771855,9,-0.508607647,0.022108919,3,0.748656528,0.007020355,3,0.748581471,0.007007861,3,0.749536971,8,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
193.4624619,2.962876895,2.21210978,0.095075582,0.43,3.68E-07,1,2,140,"{'max_samples': 0.43, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.39130491,6.183598884,13,-0.046508802,0.000478744,7,-0.213479469,0.001803139,7,-0.50862293,0.022711399,4,0.748653099,0.007355297,4,0.748577433,0.007343834,4,0.74978932,7,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
180.2703518,2.725260954,2.168191528,0.0406649,0.39,3.68E-07,1,2,140,"{'max_samples': 0.39, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.38527018,6.188334064,8,-0.047265201,0.000490341,11,-0.216451958,0.00177836,11,-0.508694512,0.022250607,5,0.748617829,0.007104039,5,0.748539439,0.00709072,5,0.750166912,1,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
203.3798401,1.806726627,2.20272541,0.074811633,0.45,3.68E-07,1,2,140,"{'max_samples': 0.45, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.38424277,6.181689646,7,-0.04620041,0.000483922,5,-0.212286664,0.00189965,5,-0.508723124,0.022787568,6,0.748603311,0.007401087,6,0.748528299,0.007388712,6,0.749464222,11,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
205.5686133,3.579547224,2.189269567,0.044351787,0.46,3.68E-07,1,2,140,"{'max_samples': 0.46, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.39287337,6.181063686,15,-0.046034405,0.000488369,4,-0.211651861,0.001865458,4,-0.508732899,0.022474329,7,0.748593231,0.007268631,7,0.74852014,0.007257629,7,0.749319873,12,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
192.5119138,1.052077309,2.204270315,0.057307109,0.42,3.68E-07,1,2,140,"{'max_samples': 0.42, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.37857638,6.1847769,3,-0.046692054,0.000496976,8,-0.214192466,0.00176324,8,-0.508798438,0.022222301,8,0.748564174,0.007085446,8,0.748487642,0.007073894,8,0.7499557,3,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
213.811822,1.362976546,2.159864664,0.031831544,0.47,3.68E-07,1,2,140,"{'max_samples': 0.47, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.38662455,6.179266762,11,-0.045857517,0.000491356,3,-0.210971576,0.00189303,3,-0.508852684,0.022678967,9,0.748534646,0.007363877,9,0.748462305,0.007354872,9,0.749172798,17,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
170.4600568,2.787038796,2.226622295,0.128373088,0.37,3.68E-07,1,2,140,"{'max_samples': 0.37, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.38127951,6.193722969,5,-0.04769294,0.000497466,13,-0.218135909,0.001855347,13,-0.508962744,0.021987528,10,0.748483215,0.006937555,10,0.748405524,0.00692457,10,0.749899859,4,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
198.5696412,2.922234257,2.199781823,0.047070039,0.44,3.68E-07,1,2,140,"{'max_samples': 0.44, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.38148721,6.180935339,6,-0.046347572,0.000471601,6,-0.212872932,0.001882731,6,-0.508974163,0.022873121,11,0.748481099,0.00743693,11,0.74840464,0.007426025,11,0.749956335,2,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
217.0162991,1.151424697,2.177474427,0.039310991,0.48,3.68E-07,1,2,140,"{'max_samples': 0.48, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.36820778,6.177121777,1,-0.045758703,0.000490753,2,-0.210580919,0.001922398,2,-0.509213926,0.022607727,12,0.748356368,0.007307583,12,0.74828366,0.007298296,12,0.749500143,9,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
166.868009,2.981415966,2.135449171,0.042002337,0.36,3.68E-07,1,2,140,"{'max_samples': 0.36, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.39138561,6.190638835,14,-0.047934121,0.000472495,14,-0.219062167,0.001752249,14,-0.509319163,0.022449376,13,0.748310697,0.007185827,13,0.748232029,0.007174453,13,0.749207016,16,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
163.8659967,2.434159627,2.104241943,0.048323551,0.35,3.68E-07,1,2,140,"{'max_samples': 0.35, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.38581263,6.186914041,10,-0.048198706,0.000482965,15,-0.220102187,0.001737488,15,-0.509426105,0.022322264,14,0.748255648,0.007151085,14,0.748177463,0.007139946,14,0.749280311,14,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
214.4512587,6.455075717,2.024141359,0.260626316,0.49,3.68E-07,1,2,140,"{'max_samples': 0.49, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.37686221,6.181996751,2,-0.04561585,0.000494011,1,-0.21005961,0.001890798,1,-0.509454568,0.022910682,15,0.748239969,0.007440275,15,0.748167439,0.007430291,15,0.749288449,13,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
160.4573562,1.506992863,2.147752023,0.086268138,0.34,3.68E-07,1,2,140,"{'max_samples': 0.34, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.40401145,6.186927421,19,-0.048476318,0.000479105,16,-0.221202741,0.001767097,16,-0.509552898,0.022435093,16,0.748197345,0.007103977,16,0.748118607,0.007093811,16,0.749464886,10,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
155.187099,2.736222569,2.106514883,0.046018729,0.33,3.68E-07,1,2,140,"{'max_samples': 0.33, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.40209232,6.182060766,18,-0.048779055,0.000521974,17,-0.222317961,0.002040571,17,-0.509768855,0.022832376,17,0.748093909,0.007338006,17,0.748013574,0.007327429,17,0.749262298,15,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
150.0831951,1.593063113,2.126522613,0.04139747,0.32,3.68E-07,1,2,140,"{'max_samples': 0.32, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.40831219,6.188732482,20,-0.049066971,0.000488195,18,-0.223507404,0.001975414,18,-0.510495355,0.022729453,18,0.74773493,0.00730184,18,0.747652988,0.007291117,18,0.748969493,20,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
148.4249023,1.673195309,2.183376622,0.106482421,0.31,3.68E-07,1,2,140,"{'max_samples': 0.31, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.39679867,6.188373612,17,-0.04938695,0.000476221,19,-0.224786159,0.001887655,19,-0.510831979,0.022891993,19,0.74757088,0.007381941,19,0.747487638,0.007368859,19,0.749018173,19,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
