mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2,rank_test_set_r2,n_features,features
176.1032479,3.983211322,2.082116508,0.061309768,0.39,6.00E-08,2,2,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 140}",-27.38858733,6.188150801,20,-0.047040371,0.000498493,16,-0.215833804,0.001740783,19,-0.503895662,0.022655609,1,0.750951028,0.007216162,1,0.750919692,0.007209103,1,0.75237821,4,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
177.7059602,4.177906456,2.098633027,0.056995624,0.39,6.00E-08,2,3,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 140}",-27.38858733,6.188150801,20,-0.047040371,0.000498493,16,-0.215833804,0.001740783,19,-0.503895662,0.022655609,1,0.750951028,0.007216162,1,0.750919692,0.007209103,1,0.75237821,4,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
176.1042754,5.004456376,2.082090926,0.029047416,0.39,6.00E-08,2,4,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.38858733,6.188150801,20,-0.047040371,0.000498493,16,-0.215833804,0.001740783,19,-0.503895662,0.022655609,1,0.750951028,0.007216162,1,0.750919692,0.007209103,1,0.75237821,4,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
177.2059725,5.335917995,2.491389894,0.070990368,0.39,0,2,2,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 140}",-27.38389416,6.190824407,11,-0.046990277,0.000496129,11,-0.215663001,0.001708898,14,-0.50400577,0.022590806,4,0.750896788,0.007169753,4,0.750865135,0.007162695,4,0.752347389,10,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
177.0429846,3.758456697,2.540275502,0.100597705,0.39,0,2,3,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 140}",-27.38389416,6.190824407,11,-0.046990277,0.000496129,11,-0.215663001,0.001708898,14,-0.50400577,0.022590806,4,0.750896788,0.007169753,4,0.750865135,0.007162695,4,0.752347389,10,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
177.5549636,4.942572827,2.517284155,0.106966746,0.39,0,2,4,140,"{'max_samples': 0.39, 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.38389416,6.190824407,11,-0.046990277,0.000496129,11,-0.215663001,0.001708898,14,-0.50400577,0.022590806,4,0.750896788,0.007169753,4,0.750865135,0.007162695,4,0.752347389,10,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
176.162088,3.11168966,2.047816467,0.064342728,0.39,2.45E-07,2,2,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 140}",-27.38975708,6.191241262,25,-0.047269986,0.000494799,28,-0.216658155,0.001695773,28,-0.504034479,0.02263567,7,0.750883071,0.00718593,7,0.750851448,0.00717868,7,0.752375435,7,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
176.0219206,4.520285125,2.04616909,0.042313417,0.39,2.45E-07,2,3,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 140}",-27.38975708,6.191241262,25,-0.047269986,0.000494799,28,-0.216658155,0.001695773,28,-0.504034479,0.02263567,7,0.750883071,0.00718593,7,0.750851448,0.00717868,7,0.752375435,7,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
177.9282845,4.539780252,2.038037777,0.070614941,0.39,2.45E-07,2,4,140,"{'max_samples': 0.39, 'min_impurity_decrease': 2.45e-07, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 140}",-27.38975708,6.191241262,25,-0.047269986,0.000494799,28,-0.216658155,0.001695773,28,-0.504034479,0.02263567,7,0.750883071,0.00718593,7,0.750851448,0.00717868,7,0.752375435,7,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
176.1518467,4.678656418,2.045686674,0.042333127,0.39,6.00E-08,2,5,140,"{'max_samples': 0.39, 'min_impurity_decrease': 6e-08, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 140}",-27.38455128,6.185786414,14,-0.047107456,0.000492395,22,-0.216066437,0.001706354,24,-0.504180262,0.022646022,10,0.750810288,0.007189992,10,0.75077941,0.007182832,10,0.752418456,1,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
