mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_max_error,std_test_max_error,rank_test_max_error,mean_test_neg_mean_absolute_percentage_error,std_test_neg_mean_absolute_percentage_error,rank_test_neg_mean_absolute_percentage_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,mean_test_r2,std_test_r2,rank_test_r2,test_set_r2,rank_test_set_r2,n_features,features
140.5431358,2.707124558,2.654673791,0.230408973,0.2,3.68E-07,1,2,200,"{'max_samples': 0.2, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-27.42291229,6.177582491,10,-0.054825661,0.000533047,1,-0.246033859,0.001933668,1,-0.521595074,0.023064478,1,0.742268062,0.007205697,1,0.742170294,0.007190302,1,0.744703061,1,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
127.2676239,2.138923731,2.625962019,0.09589092,0.2,3.68E-07,1,2,180,"{'max_samples': 0.2, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 180}",-27.42069586,6.175017012,9,-0.054877961,0.000545497,2,-0.246272429,0.001976221,2,-0.522086294,0.02313621,2,0.742025669,0.007228302,2,0.74192809,0.007213159,2,0.744469192,2,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
112.872911,2.221070248,2.277073121,0.054919535,0.2,3.68E-07,1,2,160,"{'max_samples': 0.2, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 160}",-27.4169407,6.173931319,5,-0.054946282,0.000531427,3,-0.246603323,0.001934459,3,-0.522543976,0.023182251,3,0.741799279,0.007252462,3,0.741701882,0.00723786,3,0.744183841,3,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
99.95944195,1.585294915,1.996926832,0.045335828,0.2,3.68E-07,1,2,140,"{'max_samples': 0.2, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 140}",-27.41963849,6.171660963,8,-0.055031555,0.000492959,4,-0.246975684,0.001844133,4,-0.52296848,0.023243243,4,0.74159115,0.007282028,4,0.741492203,0.007268319,4,0.743548899,4,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
85.11600192,0.938857323,1.695230126,0.041744343,0.2,3.68E-07,1,2,120,"{'max_samples': 0.2, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 120}",-27.42482387,6.172523983,12,-0.055113041,0.000498503,5,-0.24740485,0.001895482,5,-0.523814608,0.023056995,5,0.741169444,0.007200554,5,0.741071697,0.007188482,5,0.743216253,5,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
73.29583869,1.413093648,1.491178608,0.071044879,0.2,3.68E-07,1,2,100,"{'max_samples': 0.2, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-27.4289558,6.174133778,17,-0.055268191,0.000490838,6,-0.248081102,0.001908372,6,-0.524831951,0.023175771,6,0.740667392,0.007239329,6,0.740569702,0.007228512,6,0.743032035,6,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
127.8896414,1.51195359,2.803968239,0.085677103,0.18,3.68E-07,1,2,200,"{'max_samples': 0.18, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-27.42628723,6.188472614,14,-0.056489002,0.000557894,10,-0.252561621,0.002113793,9,-0.526013157,0.02301216,7,0.740084504,0.007145441,7,0.739984208,0.007134104,7,0.742716397,7,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
56.88972323,1.882247009,1.158810568,0.050396045,0.2,3.68E-07,1,2,80,"{'max_samples': 0.2, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 80}",-27.42484265,6.171659483,13,-0.055480829,0.00049715,7,-0.249023951,0.001939376,7,-0.526180993,0.023199615,8,0.740002853,0.007234616,8,0.739902798,0.00722338,8,0.741990605,10,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
114.3553615,1.763301447,2.517258954,0.061366376,0.18,3.68E-07,1,2,180,"{'max_samples': 0.18, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 180}",-27.41944566,6.184871042,7,-0.056538542,0.000571907,11,-0.252796724,0.00215687,10,-0.526466578,0.023043039,9,0.739859094,0.007189998,9,0.739759163,0.007179563,9,0.742627597,8,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
102.2420489,2.354887815,2.257989788,0.06125789,0.18,3.68E-07,1,2,160,"{'max_samples': 0.18, 'min_impurity_decrease': 3.68e-07, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 160}",-27.41697994,6.184356787,6,-0.056617782,0.000550625,12,-0.25315294,0.002083017,11,-0.52695615,0.023119232,10,0.739617948,0.00722304,10,0.739517603,0.007212414,10,0.742457059,9,6,"['STATEFP', 'NPP_g_m-2_1m_lag', 'month', 'months_from_start', 'popuDensity_ALAND_km2', 'GEOID']"
