mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_r2,std_test_r2,rank_test_r2
41.27327042,1.982586645,1.675321913,0.505172031,0.11,3,3,50,"{'max_samples': 0.11, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 50}",-1.003002112,0.004219869,1,-2.202180621,0.086706463,1,0.173537255,0.006923516,1
56.26899006,4.369302752,1.509534454,0.144004153,0.11,3,4,50,"{'max_samples': 0.11, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50}",-1.003002112,0.004219869,1,-2.202180621,0.086706463,1,0.173537255,0.006923516,1
42.90598078,0.293620272,1.480905509,0.118962395,0.11,2,3,50,"{'max_samples': 0.11, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 50}",-1.005120023,0.004048824,5,-2.206099358,0.086691659,3,0.172063638,0.007012756,3
43.06218908,0.84043015,1.358427978,0.090330674,0.11,2,4,50,"{'max_samples': 0.11, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 50}",-1.005120023,0.004048824,5,-2.206099358,0.086691659,3,0.172063638,0.007012756,3
35.74392543,0.637437291,1.119382215,0.091133844,0.1,3,3,50,"{'max_samples': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 50}",-1.00496265,0.004640996,3,-2.206543995,0.088532151,5,0.171922391,0.00712514,5
36.05235941,1.117174586,1.225316358,0.141619287,0.1,3,4,50,"{'max_samples': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50}",-1.00496265,0.004640996,3,-2.206543995,0.088532151,5,0.171922391,0.00712514,5
38.23916328,1.66792539,1.646556735,0.271366724,0.1,2,3,50,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 50}",-1.006850861,0.004638957,9,-2.209977536,0.088106035,7,0.170625759,0.007210343,7
40.73654583,3.330772146,1.601584363,0.208417325,0.1,2,4,50,"{'max_samples': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 50}",-1.006850861,0.004638957,9,-2.209977536,0.088106035,7,0.170625759,0.007210343,7
34.15092037,1.785584328,1.128076577,0.098029712,0.09,3,3,50,"{'max_samples': 0.09, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 50}",-1.006632216,0.004506507,7,-2.211433112,0.088469989,9,0.17008271,0.007157511,9
32.94978089,0.548909225,1.178187346,0.112637072,0.09,3,4,50,"{'max_samples': 0.09, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50}",-1.006632216,0.004506507,7,-2.211433112,0.088469989,9,0.17008271,0.007157511,9
32.73505588,1.5142495,1.293062949,0.130482886,0.09,2,3,50,"{'max_samples': 0.09, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 50}",-1.008573127,0.004529723,11,-2.215213578,0.088528178,11,0.168663463,0.007081243,11
32.64808192,1.346124288,1.451077628,0.121463549,0.09,2,4,50,"{'max_samples': 0.09, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 50}",-1.008573127,0.004529723,11,-2.215213578,0.088528178,11,0.168663463,0.007081243,11
