vars,NPP_g_m-2,NPP_g_m-2_1m_lag,PDSI,PDSI_1m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,SP01,SP01_1m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,temp_F,temp_F_1m_lag,median_inc,month,months_from_start,popuDensity_ALAND_km2
NPP_g_m-2,0,0,7.12E-57,2.22E-58,0,0,1.04E-06,2.45E-44,0,0,0,0,0,0,0.135590499,0
NPP_g_m-2_1m_lag,0,0,2.76E-05,2.35E-33,0,0,5.17E-31,0.044064569,0,0,0,0,0,0,3.45E-51,0
PDSI,7.12E-57,2.76E-05,0,0,8.58E-244,0,0,0,4.19E-102,3.41E-24,0,0,0,1.36E-161,0,2.85E-162
PDSI_1m_lag,2.22E-58,2.35E-33,0,0,8.95E-129,5.57E-291,0,0,0.000286166,4.65E-108,0,0,0,1.16E-30,0,2.75E-175
Rh_g_m-2,0,0,8.58E-244,8.95E-129,0,0,9.97E-267,2.37E-116,0,0,0,0,0,0,1.67E-15,0
Rh_g_m-2_1m_lag,0,0,0,5.57E-291,0,0,2.11E-57,2.99E-289,0,0,0,0,0,0,4.79E-66,0
SP01,1.04E-06,5.17E-31,0,0,9.97E-267,2.11E-57,0,0,0,4.79E-17,1.91E-21,2.80E-12,2.85E-98,0,5.05E-158,8.79E-16
SP01_1m_lag,2.45E-44,0.044064569,0,0,2.37E-116,2.99E-289,0,0,1.54E-44,0,6.84E-78,3.72E-10,7.37E-100,1.15E-69,2.05E-138,1.10E-23
pm25_ug_m-3,0,0,4.19E-102,0.000286166,0,0,0,1.54E-44,0,0,0,0,0,1.32E-116,0,0
pm25_ug_m-3_1m_lag,0,0,3.41E-24,4.65E-108,0,0,4.79E-17,0,0,0,0,0,0,0,0,0
temp_F,0,0,0,0,0,0,1.91E-21,6.84E-78,0,0,0,0,0,0,2.07E-16,0
temp_F_1m_lag,0,0,0,0,0,0,2.80E-12,3.72E-10,0,0,0,0,0,0,1.92E-96,0
median_inc,0,0,0,0,0,0,2.85E-98,7.37E-100,0,0,0,0,0,0.002262828,0,0
month,0,0,1.36E-161,1.16E-30,0,0,0,1.15E-69,1.32E-116,0,0,0,0.002262828,0,3.03E-210,0.82395063
months_from_start,0.135590499,3.45E-51,0,0,1.67E-15,4.79E-66,5.05E-158,2.05E-138,0,0,2.07E-16,1.92E-96,0,3.03E-210,0,6.64E-10
popuDensity_ALAND_km2,0,0,2.85E-162,2.75E-175,0,0,8.79E-16,1.10E-23,0,0,0,0,0,0.82395063,6.64E-10,0
