vars,AQI,AQI_1m_lag,AQI_2m_lag,BB_g_m-2,BB_g_m-2_1m_lag,BB_g_m-2_2m_lag,C_g_m-2,C_g_m-2_1m_lag,C_g_m-2_2m_lag,DM_kg_m-2,DM_kg_m-2_1m_lag,DM_kg_m-2_2m_lag,NPP_g_m-2,NPP_g_m-2_1m_lag,NPP_g_m-2_2m_lag,PDSI,PDSI_1m_lag,PDSI_2m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,Rh_g_m-2_2m_lag,SP01,SP01_1m_lag,SP01_2m_lag,burned_frac,burned_frac_1m_lag,burned_frac_2m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,pm25_ug_m-3_2m_lag,precip_in,precip_in_1m_lag,precip_in_2m_lag,smallf_frac,smallf_frac_1m_lag,smallf_frac_2m_lag,temp_F,temp_F_1m_lag,temp_F_2m_lag,ALAND_ATOTAL_ratio,mortalityRate,median_inc,month,months_from_start,popuDensity_ALAND_km2,popuDensity_ATOTAL_km2
AQI,1,0.707298013,0.508339348,0.183723785,0.153416424,0.104582276,0.183723785,0.153416424,0.104582276,0.183704316,0.153387731,0.104551801,0.488052125,0.332643234,0.111531418,-0.117567007,-0.09269943,-0.079446466,0.396348417,0.259849826,0.075864523,-0.112064768,-0.060607658,-0.044857192,0.177352111,0.150106068,0.103663565,0.438213633,0.328123303,0.239664408,0.120044356,0.143584926,0.10736426,0.194906355,0.171416712,0.130220492,0.489274868,0.30767517,0.070066185,0.032927579,-0.160221683,-0.059446548,-0.090040578,-0.088968472,0.104036978,0.111231184
AQI_1m_lag,0.707298013,1,0.707560949,0.121744638,0.181498921,0.153708075,0.121744638,0.181498921,0.153708075,0.121729344,0.18147962,0.153680009,0.502590522,0.486962293,0.332658678,-0.087282828,-0.116360009,-0.09185322,0.443929944,0.395672651,0.260349818,0.009146677,-0.111348185,-0.062270555,0.114357513,0.175081535,0.150300294,0.346925914,0.433747554,0.326260744,0.203241473,0.120711006,0.1417307,0.129676991,0.191420036,0.170311096,0.530816861,0.488442296,0.308516515,0.032924685,-0.235670475,-0.060193156,0.128845466,-0.077651142,0.104051626,0.11123977
AQI_2m_lag,0.508339348,0.707560949,1,0.063873146,0.118234076,0.179981568,0.063873146,0.118234076,0.179981568,0.063859686,0.118220051,0.179963334,0.386291194,0.503970811,0.488576524,-0.055499944,-0.082320285,-0.111368088,0.385445891,0.444447834,0.397406499,0.025413172,0.009721519,-0.10991025,0.055749735,0.110817959,0.173562297,0.278824004,0.342125371,0.430271824,0.179369237,0.204049447,0.121395154,0.069067013,0.124414088,0.187936267,0.452233299,0.531833253,0.490209597,0.032747446,-0.253932133,-0.059334813,0.32229931,-0.065657655,0.10368949,0.110851096
BB_g_m-2,0.183723785,0.121744638,0.063873146,1,0.468279124,0.332393514,1,0.468279124,0.332393514,0.999999452,0.468217515,0.332306259,0.269653023,0.199376946,0.123128129,-0.158817289,-0.135619896,-0.120575593,0.253690962,0.199048478,0.142907385,-0.100607007,-0.061320504,-0.061675174,0.988381887,0.460373209,0.323529198,0.164314595,0.14723514,0.123449614,0.035438885,0.036512319,0.02205364,0.942223134,0.442754354,0.322659365,0.31493371,0.240694542,0.152730638,-0.06937285,-0.060646812,-0.106596119,-0.037705521,0.036310886,0.037574762,0.044033948
BB_g_m-2_1m_lag,0.153416424,0.181498921,0.118234076,0.468279124,1,0.470336596,0.468279124,1,0.470336596,0.468221722,0.999999448,0.470274941,0.289888591,0.266722468,0.19612851,-0.145277956,-0.160199789,-0.13673625,0.291637272,0.25146185,0.197246104,-0.014767015,-0.10228198,-0.062375087,0.45808487,0.988250462,0.462287112,0.126973492,0.164843187,0.145715198,0.11907794,0.033482414,0.035983134,0.454612227,0.94173121,0.445133002,0.328418194,0.31206984,0.238002607,-0.069072846,-0.096707074,-0.109250343,0.095212621,0.036977991,0.037493942,0.043978554
BB_g_m-2_2m_lag,0.104582276,0.153708075,0.179981568,0.332393514,0.470336596,1,0.332393514,0.470336596,1,0.33231174,0.470278753,0.999999448,0.262657878,0.290730645,0.266143848,-0.135684415,-0.145923539,-0.160322139,0.296758994,0.291723374,0.251338925,-0.018250029,-0.017073314,-0.102535396,0.321331575,0.46016177,0.988236937,0.106033658,0.128590351,0.164020152,0.122579731,0.11718981,0.033700305,0.329421635,0.456758793,0.941395095,0.316209459,0.329236266,0.311629954,-0.068949258,-0.102329302,-0.110482151,0.146939261,0.036066565,0.037535515,0.044010473
C_g_m-2,0.183723785,0.121744638,0.063873146,1,0.468279124,0.332393514,1,0.468279124,0.332393514,0.999999452,0.468217515,0.332306259,0.269653023,0.199376946,0.123128129,-0.158817289,-0.135619896,-0.120575593,0.253690962,0.199048478,0.142907385,-0.100607007,-0.061320504,-0.061675174,0.988381887,0.460373209,0.323529198,0.164314595,0.14723514,0.123449614,0.035438885,0.036512319,0.02205364,0.942223134,0.442754354,0.322659365,0.31493371,0.240694542,0.152730638,-0.06937285,-0.060646812,-0.106596119,-0.037705521,0.036310886,0.037574762,0.044033948
C_g_m-2_1m_lag,0.153416424,0.181498921,0.118234076,0.468279124,1,0.470336596,0.468279124,1,0.470336596,0.468221722,0.999999448,0.470274941,0.289888591,0.266722468,0.19612851,-0.145277956,-0.160199789,-0.13673625,0.291637272,0.25146185,0.197246104,-0.014767015,-0.10228198,-0.062375087,0.45808487,0.988250462,0.462287112,0.126973492,0.164843187,0.145715198,0.11907794,0.033482414,0.035983134,0.454612227,0.94173121,0.445133002,0.328418194,0.31206984,0.238002607,-0.069072846,-0.096707074,-0.109250343,0.095212621,0.036977991,0.037493942,0.043978554
C_g_m-2_2m_lag,0.104582276,0.153708075,0.179981568,0.332393514,0.470336596,1,0.332393514,0.470336596,1,0.33231174,0.470278753,0.999999448,0.262657878,0.290730645,0.266143848,-0.135684415,-0.145923539,-0.160322139,0.296758994,0.291723374,0.251338925,-0.018250029,-0.017073314,-0.102535396,0.321331575,0.46016177,0.988236937,0.106033658,0.128590351,0.164020152,0.122579731,0.11718981,0.033700305,0.329421635,0.456758793,0.941395095,0.316209459,0.329236266,0.311629954,-0.068949258,-0.102329302,-0.110482151,0.146939261,0.036066565,0.037535515,0.044010473
DM_kg_m-2,0.183704316,0.121729344,0.063859686,0.999999452,0.468221722,0.33231174,0.999999452,0.468221722,0.33231174,1,0.468160496,0.332224763,0.269609009,0.199322461,0.123068486,-0.158745205,-0.135548691,-0.1205049,0.253651722,0.199003119,0.14285995,-0.100585222,-0.061297499,-0.061654148,0.988427876,0.460336231,0.323462213,0.164311502,0.147259567,0.123496075,0.035411785,0.036472967,0.022002917,0.94220765,0.442692099,0.322574271,0.314889743,0.240644648,0.152673354,-0.069351522,-0.060623956,-0.106525347,-0.037694741,0.036307701,0.037559858,0.044020209
