vars,AQI,AQI_1m_lag,AQI_2m_lag,BB_g_m-2,BB_g_m-2_1m_lag,BB_g_m-2_2m_lag,C_g_m-2,C_g_m-2_1m_lag,C_g_m-2_2m_lag,DM_kg_m-2,DM_kg_m-2_1m_lag,DM_kg_m-2_2m_lag,NPP_g_m-2,NPP_g_m-2_1m_lag,NPP_g_m-2_2m_lag,PDSI,PDSI_1m_lag,PDSI_2m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,Rh_g_m-2_2m_lag,SP01,SP01_1m_lag,SP01_2m_lag,burned_frac,burned_frac_1m_lag,burned_frac_2m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,pm25_ug_m-3_2m_lag,precip_in,precip_in_1m_lag,precip_in_2m_lag,smallf_frac,smallf_frac_1m_lag,smallf_frac_2m_lag,temp_F,temp_F_1m_lag,temp_F_2m_lag,ALAND_ATOTAL_ratio,deathRate,median_inc,month,months_from_start,popuDensity_ALAND_km2,popuDensity_ATOTAL_km2
AQI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.692049902522866e-277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.596687154399833e-150,0.0,0.0,0.0,0.0,0.0,0.0
AQI_1m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29817688782625e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8807403681629563e-150,0.0,0.0,0.0,0.0,0.0,0.0
AQI_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.668031697887211e-90,1.3476909503995354e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.899379780447216e-148,0.0,0.0,0.0,0.0,0.0,0.0
BB_g_m-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.614109562818339e-173,4.538705795726073e-184,2.331812020597532e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.623419824195135e-196,4.5798785852786395e-182,8.014408106540113e-195,7.684095643548744e-267
BB_g_m-2_1m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2966186324722372e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.253559930871866e-155,7.902241078537171e-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.589755782027378e-189,5.4037220007675283e-194,3.5626005245093945e-266
BB_g_m-2_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2245090596175455e-47,1.1005183348720634e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.255697587752717e-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1928022101560457e-179,2.0257339834104595e-194,1.4723275731983412e-266
C_g_m-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.614109562818339e-173,4.538705795726073e-184,2.331812020597532e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.623419824195135e-196,4.5798785852786395e-182,8.014408106540113e-195,7.684095643548744e-267
C_g_m-2_1m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2966186324722372e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.253559930871866e-155,7.902241078537171e-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.589755782027378e-189,5.4037220007675283e-194,3.5626005245093945e-266
C_g_m-2_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2245090596175455e-47,1.1005183348720634e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.255697587752717e-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1928022101560457e-179,2.0257339834104595e-194,1.4723275731983412e-266
DM_kg_m-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9527839064310178e-173,1.1201818009361378e-183,4.713552692772075e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.679120161675764e-196,4.925580963689047e-182,1.1398362732995066e-194,1.1243322383405186e-266
