GEOID,ATOTAL,area,error
01001,1565309098,1574703996.9636567,0.006001944903827975
01003,5250602513,,
01005,2342683352,,
01007,1621769565,,
01009,1685119333,,
01011,1619114147,,
01013,2014703729,,
01015,1585782460,,
01017,1562057307,,
01019,1553931661,,
01021,1815069217,,
01023,2385014310,,
01025,3244151997,,
01027,1569537041,,
01029,1453018682,,
01031,1762473108,,
01033,1614902599,,
01035,2208639901,,
01037,1725838086,,
01039,2703360407,,
01041,1582341361,,
01043,1955495855,,
01045,1457327499,,
01047,2574044385,,
01049,2016798023,,
01051,1701726800,,
01053,2468620064,,
01055,1420939685,,
01057,1630024169,,
01059,1674485385,,
01061,1499475828,,
01063,1709198200,,
01065,1700330473,,
01067,1471913445,,
01069,1506537641,,
01071,2918308741,,
01073,2911401945,,
01075,1568145316,,
01077,1863755029,,
01079,1857546633,,
01081,1595041229,,
01083,1572607598,,
01085,1877923212,,
01087,1588201108,,
01089,2104922626,,
01091,2545106857,,
01093,1925840674,,
01095,1614027322,,
01097,4258085018,,
01099,2679079341,,
01101,2071762498,,
01103,1551534071,,
01105,1874838390,,
01107,2305415042,,
01109,1742984495,,
01111,1512901357,,
01113,1676219255,,
01115,1692193976,,
01117,2096650568,,
01119,2365533798,,
01121,1969220967,,
01123,1984588974,,
01125,3499724553,,
01127,2085440774,,
01129,2819373055,,
01131,2350132610,,
01133,1636531260,,
04001,29056188528,,
04003,16100842685,,
04005,48333877545,,
04007,12420266244,,
04009,12018082228,,
04011,4784874488,,
04012,11682063817,,
04013,23892970078,,
04015,34862806449,,
04017,25794643784,,
04019,23803709684,,
04021,13920341522,,
04023,3204921481,,
04025,21050229041,,
04027,14294026248,,
05001,2677392080,,
05003,2435960014,,
05005,1519675857,,
05007,2290277268,,
05009,1559172719,,
05011,1691047401,,
05013,1637901575,,
05015,1654221190,,
05017,1789138689,,
05019,2286517944,,
05021,1661312208,,
05023,1532968672,,
05025,1550739906,,
05027,1985878746,,
05029,1467716823,,
05031,1845936549,,
05033,1566237569,,
05035,1648316780,,
05037,1611766645,,
05039,1730386555,,
05041,2122547050,,
05043,2164403013,,
05045,1719966365,,
05047,1604860633,,
05049,1606626743,,
05051,1902418812,,
05053,1639281228,,
05055,1500995410,,
05057,1919640344,,
05059,1611629325,,
05061,1541855975,,
05063,1998408574,,
05065,1512648838,,
05067,1661252876,,
05069,2366686121,,
05071,1767579138,,
05073,1411747603,,
05075,1534199879,,
05077,1604502664,,
05079,1481898459,,
05081,1462736695,,
05083,1895825677,,
05085,2080599447,,
05087,2168038891,,
05089,1658395197,,
05091,1651512675,,
05093,2382307970,,
05095,1609161569,,
05097,2072898718,,
05099,1607447324,,
05101,2132062735,,
05103,1915949163,,
05105,1451756864,,
05107,1883808210,,
05109,1590589165,,
05111,1977669251,,
05113,2233235829,,
05115,2151647528,,
05117,1749780838,,
05119,2090569934,,
05121,1699141273,,
05123,1664046594,,
05125,1892017202,,
05127,2326087727,,
05129,1731212526,,
05131,1413045997,,
05133,1505965358,,
05135,1570602889,,
05137,1578596929,,
05139,2733056718,,
05141,1875938521,,
05143,2466607892,,
05145,2699121223,,
05147,1538473736,,
05149,2457353497,,
06001,2126521771,,
06003,1924849912,,
06005,1569404163,,
06007,4343749219,,
06009,2685626863,,
06011,2994941629,,
06013,2082515692,,
06015,3184860624,,
06017,4626641757,,
06019,15568749198,,
06021,3436853641,,
06023,10495291200,,
06025,11604811987,,
06027,26487596531,,
06029,21141221808,,
06031,3604046467,,
06033,3443200913,,
06035,12225041640,,
06037,12305346959,,
06039,5576863403,,
06041,2145005964,,
06043,3788697794,,
06045,10044372869,,
06047,5124684788,,
06049,10886380810,,
06051,8111534160,,
06053,9767417013,,
06055,2042281975,,
06057,2522119331,,
06059,2455299645,,
06061,3890772866,,
06063,6768788546,,
06065,18915095853,,
06067,2575409321,,
06069,3601310382,,
06071,52071990688,,
06073,11721778180,,
06075,600592325,,
06077,3695237486,,
06079,9364131013,,
06081,1919071195,,
06083,9813815098,,
06085,3377486318,,
06087,1572537808,,
06089,9964709533,,
06091,2491993693,,
06093,16441083059,,
06095,2347160620,,
06097,4578946401,,
06099,3921019182,,
06101,1575787119,,
06103,7671996532,,
06105,8307673032,,
06107,12532096612,,
06109,5890802075,,
06111,5719333332,,
06113,2651023187,,
06115,1667971840,,
08001,3065039804,,
08003,1873313484,,
08005,2086127837,,
08007,3510452356,,
08009,6623542760,,
08011,3991396665,,
08013,1917802871,,
08014,86890161,,
08015,2628715672,,
08017,4613880089,,
08019,1026508947,,
08021,3343658906,,
08023,3188281204,,
08025,2072850853,,
08027,1916396071,,
08029,2974877765,,
08031,401270174,,
08033,2766674651,,
08035,2183038703,,
08037,4381724890,,
08039,4794086127,,
08041,5515601646,,
08043,3972899920,,
08045,7655503872,,
08047,389498789,,
08049,4842162860,,
08051,8442405146,,
08053,2908939158,,
08055,4126548405,,
08057,4198280247,,
08059,2004827910,,
